environment_group_id,group_type,clip_count,frame_count,flip_frames,notflip_frames,training_frames,testing_frames,mixed_label_group,labels,sequences,group_category,d2_split
E01,multi_clip,12,290,140,150,224,66,1,flip|notflip,flip__0035|flip__0036|flip__0037|flip__0039|flip__0043|flip__0045|flip__0046|notflip__0028|notflip__0029|notflip__0032|notflip__0038|notflip__0040,mixed,train
E02,multi_clip,9,178,58,120,142,36,1,flip|notflip,flip__0024|flip__0025|flip__0031|flip__0032|flip__0033|notflip__0023|notflip__0024|notflip__0025|notflip__0026,mixed,test
E03,multi_clip,8,207,170,37,161,46,1,flip|notflip,flip__0051|flip__0053|flip__0054|flip__0055|flip__0059|flip__0061|flip__0062|notflip__0041,mixed,train
E04,multi_clip,8,240,0,240,194,46,0,notflip,notflip__0042|notflip__0044|notflip__0045|notflip__0046|notflip__0047|notflip__0048|notflip__0049|notflip__0057,pure_notflip,train
E05,multi_clip,6,134,134,0,110,24,0,flip,flip__0016|flip__0017|flip__0018|flip__0019|flip__0020|flip__0021,pure_flip,test
E06,multi_clip,5,141,111,30,119,22,1,flip|notflip,flip__0003|flip__0005|flip__0007|flip__0008|notflip__0001,mixed,train
E07,multi_clip,5,79,79,0,66,13,0,flip,flip__0049|flip__0052|flip__0056|flip__0057|flip__0064,pure_flip,train
E08,multi_clip,4,99,48,51,81,18,1,flip|notflip,flip__0028|flip__0029|notflip__0019|notflip__0020,mixed,train
E09,multi_clip,4,119,29,90,97,22,1,flip|notflip,flip__0065|notflip__0053|notflip__0055|notflip__0058,mixed,train
E10,multi_clip,3,69,69,0,55,14,0,flip,flip__0012|flip__0013|flip__0022,pure_flip,train
E11,multi_clip,3,39,39,0,33,6,0,flip,flip__0023|flip__0026|flip__0027,pure_flip,train
E12,multi_clip,3,95,0,95,75,20,0,notflip,notflip__0004|notflip__0005|notflip__0008,pure_notflip,test
E13,multi_clip,3,92,0,92,72,20,0,notflip,notflip__0034|notflip__0035|notflip__0037,pure_notflip,train
E14,multi_clip,2,71,71,0,55,16,0,flip,flip__0038|flip__0047,pure_flip,train
E15,multi_clip,2,43,43,0,35,8,0,flip,flip__0050|flip__0058,pure_flip,train
S01,singleton,1,16,16,0,15,1,0,flip,flip__0001,pure_flip,test
S02,singleton,1,13,13,0,9,4,0,flip,flip__0002,pure_flip,test
S03,singleton,1,24,24,0,20,4,0,flip,flip__0004,pure_flip,train
S04,singleton,1,30,30,0,21,9,0,flip,flip__0006,pure_flip,train
S05,singleton,1,28,28,0,21,7,0,flip,flip__0009,pure_flip,train
S06,singleton,1,27,27,0,21,6,0,flip,flip__0010,pure_flip,train
S07,singleton,1,26,26,0,21,5,0,flip,flip__0011,pure_flip,train
S08,singleton,1,23,23,0,12,11,0,flip,flip__0014,pure_flip,train
S09,singleton,1,30,30,0,25,5,0,flip,flip__0015,pure_flip,train
S10,singleton,1,38,38,0,30,8,0,flip,flip__0030,pure_flip,train
S11,singleton,1,13,13,0,8,5,0,flip,flip__0034,pure_flip,train
S12,singleton,1,25,25,0,21,4,0,flip,flip__0040,pure_flip,train
S13,singleton,1,20,20,0,13,7,0,flip,flip__0041,pure_flip,train
S14,singleton,1,30,30,0,24,6,0,flip,flip__0042,pure_flip,train
S15,singleton,1,27,27,0,22,5,0,flip,flip__0044,pure_flip,train
S16,singleton,1,22,22,0,20,2,0,flip,flip__0048,pure_flip,train
S17,singleton,1,55,55,0,43,12,0,flip,flip__0060,pure_flip,test
S18,singleton,1,14,14,0,11,3,0,flip,flip__0063,pure_flip,test
S19,singleton,1,30,0,30,22,8,0,notflip,notflip__0002,pure_notflip,test
S20,singleton,1,30,0,30,26,4,0,notflip,notflip__0003,pure_notflip,train
S21,singleton,1,30,0,30,20,10,0,notflip,notflip__0006,pure_notflip,train
S22,singleton,1,30,0,30,28,2,0,notflip,notflip__0007,pure_notflip,train
S23,singleton,1,30,0,30,22,8,0,notflip,notflip__0009,pure_notflip,train
S24,singleton,1,30,0,30,27,3,0,notflip,notflip__0010,pure_notflip,train
S25,singleton,1,30,0,30,27,3,0,notflip,notflip__0011,pure_notflip,train
S26,singleton,1,30,0,30,24,6,0,notflip,notflip__0015,pure_notflip,train
S27,singleton,1,25,0,25,20,5,0,notflip,notflip__0016,pure_notflip,test
S28,singleton,1,8,0,8,6,2,0,notflip,notflip__0021,pure_notflip,test
S29,singleton,1,30,0,30,23,7,0,notflip,notflip__0027,pure_notflip,train
S30,singleton,1,30,0,30,22,8,0,notflip,notflip__0030,pure_notflip,train
S31,singleton,1,30,0,30,22,8,0,notflip,notflip__0031,pure_notflip,train
S32,singleton,1,30,0,30,22,8,0,notflip,notflip__0033,pure_notflip,train
S33,singleton,1,30,0,30,22,8,0,notflip,notflip__0036,pure_notflip,train
S34,singleton,1,30,0,30,27,3,0,notflip,notflip__0039,pure_notflip,train
S35,singleton,1,30,0,30,27,3,0,notflip,notflip__0043,pure_notflip,train
S36,singleton,1,29,0,29,27,2,0,notflip,notflip__0050,pure_notflip,test
S37,singleton,1,30,0,30,27,3,0,notflip,notflip__0051,pure_notflip,train
S38,singleton,1,30,0,30,26,4,0,notflip,notflip__0052,pure_notflip,train
S39,singleton,1,30,0,30,26,4,0,notflip,notflip__0054,pure_notflip,train
S40,singleton,1,30,0,30,23,7,0,notflip,notflip__0056,pure_notflip,train
