sequence_id,label,video_id,sequence_position,frame_num,supplied_split,path,sha256,environment_group_id,d2_split
flip__0001,flip,0001,0,10,training,training/flip/0001_000000010.jpg,cec180fcfcefce69a3a16c513b37395ea32668869f99cbd0d56427fcd9575af5,S01,test
flip__0001,flip,0001,1,11,training,training/flip/0001_000000011.jpg,193235dc2094617a7a2aa5338eb39bc005874edca9ac7ccc52bbfd2cbbf941aa,S01,test
flip__0001,flip,0001,2,12,training,training/flip/0001_000000012.jpg,6ff7c30abf869e8c70f29529b4c1ff08659b00a1a290ff6601dac87046de7369,S01,test
flip__0001,flip,0001,3,13,training,training/flip/0001_000000013.jpg,04440410c62dc14110d6ecea85a8f78c53baf2db85190e2d4cb5f07b25d7a3a0,S01,test
flip__0001,flip,0001,4,14,training,training/flip/0001_000000014.jpg,312532bbd2cb12ac5f71f837ff0bd4c78cc69fcd63444c42598bb0dd1249b9ee,S01,test
flip__0001,flip,0001,5,15,training,training/flip/0001_000000015.jpg,2b403908162f9f6eddcd93c67ba4746632cdf287a1d300ed52d35e98a2ca0850,S01,test
flip__0001,flip,0001,6,16,training,training/flip/0001_000000016.jpg,5ea04b4b70aec354ff38d7d26b3d849c8c710806e5641dd8566b026cfe6b551e,S01,test
flip__0001,flip,0001,7,17,training,training/flip/0001_000000017.jpg,962234056d3f2f4e19f19d53079f8e0352e00a516b864e19ce283f9b0e9ba4da,S01,test
flip__0001,flip,0001,8,18,training,training/flip/0001_000000018.jpg,43dbd42c1cca4b673f36b785deeef178bf5878d8c90c022e57c7a3d08ae056d2,S01,test
flip__0001,flip,0001,9,19,training,training/flip/0001_000000019.jpg,b0478504df79b476c7f8b9e37b2ba3294335055b082098ba3c60bcd4c6e60799,S01,test
flip__0001,flip,0001,10,20,testing,testing/flip/0001_000000020.jpg,d565e4ab10ad4242f6ed2cee31a631e13a50c49abecbe227c601cb8e69b06862,S01,test
flip__0001,flip,0001,11,21,training,training/flip/0001_000000021.jpg,846abab9c7e7b34c1abc5bd5df34cf96f259d2d76bf8e508a042eca2adc1cbc2,S01,test
flip__0001,flip,0001,12,22,training,training/flip/0001_000000022.jpg,30260bb2f9cb4960aa14e1c83b694c1c6854193ef2caeadd1550dfb64809a0a7,S01,test
flip__0001,flip,0001,13,23,training,training/flip/0001_000000023.jpg,0165869575c3ecb27c142e994359982dce9258610cbb69e9cfda4c2385b75689,S01,test
flip__0001,flip,0001,14,24,training,training/flip/0001_000000024.jpg,d11b795dc921dccfd034c58c77fe62b119324539da7b2a833f36df010592c94f,S01,test
flip__0001,flip,0001,15,25,training,training/flip/0001_000000025.jpg,3eb5b92f154306656e91cf87843104f2031da120300b8d9a92174540604382f3,S01,test
flip__0002,flip,0002,0,9,training,training/flip/0002_000000009.jpg,7604fde4353f842e8b5a9bad25ca6559d9f74c9d69c58682349c2a4214437df7,S02,test
flip__0002,flip,0002,1,10,training,training/flip/0002_000000010.jpg,1b91be3decfc01603fc4cdccad9ce51985a0a1bf0419d85814338bcbf2adeefe,S02,test
flip__0002,flip,0002,2,11,training,training/flip/0002_000000011.jpg,2f7ea4240c9170fce3d740432d188a8db660d1f98f9a8382d0f0e77207e0b815,S02,test
flip__0002,flip,0002,3,12,testing,testing/flip/0002_000000012.jpg,2e8497d9f766c82d2d040965bbdc767713489200267f6d6c0d560ff5c61a088f,S02,test
flip__0002,flip,0002,4,13,testing,testing/flip/0002_000000013.jpg,2d2c65d4ee6dea6a3b0fd86517d30c927e8cca5f9b078cc08bd05a29a57c8cfd,S02,test
flip__0002,flip,0002,5,14,training,training/flip/0002_000000014.jpg,f012145b1d7801ce5d6ac265317eea1dbe365e994a03a7df4d148cb3641842ef,S02,test
flip__0002,flip,0002,6,15,testing,testing/flip/0002_000000015.jpg,4813ad96486cb9fb0944061e6bd35edd49945b9379405d739738cac6d4d7ed55,S02,test
flip__0002,flip,0002,7,16,training,training/flip/0002_000000016.jpg,4fe86564e0438c7491136b86cdb6b75e4e03da70dbd0a6f5387d31185e10e16d,S02,test
flip__0002,flip,0002,8,17,testing,testing/flip/0002_000000017.jpg,a743a9ece0aeb115916ae5867ae0f75dfc323bc98d4a5ec976ae7cd65816d118,S02,test
flip__0002,flip,0002,9,18,training,training/flip/0002_000000018.jpg,0542cd04bd09db74935888f6da392c7471aa7c40e8b0ff547cb2f5f1864cf91a,S02,test
flip__0002,flip,0002,10,19,training,training/flip/0002_000000019.jpg,fffde2b68b4ba138456a35bad791647476c9693a043559ca4c2f4041dec16b05,S02,test
flip__0002,flip,0002,11,20,training,training/flip/0002_000000020.jpg,d7b296e0fefe6643f53c89b4b37829a0f579c0a7e466df8d17de7b68bf03e3fc,S02,test
flip__0002,flip,0002,12,21,training,training/flip/0002_000000021.jpg,b1c916e33745a28ecf5777f3b6ae00c36d5a90e9dea13ac485c0d961ad3175d9,S02,test
flip__0003,flip,0003,0,1,training,training/flip/0003_000000001.jpg,1abb370f9be20c7d87e41d268ca85d87d9ef97a6f141ebe6caa50d731dbcdcfc,E06,train
flip__0003,flip,0003,1,2,training,training/flip/0003_000000002.jpg,64e23d9c52d834ffd7b6a22967191dc9c888974455d07c13830423977ed31619,E06,train
flip__0003,flip,0003,2,3,training,training/flip/0003_000000003.jpg,85cebb31f89b56c15fa8ba7293d763346e445f0fc8d45d100a553c3fef083d24,E06,train
flip__0003,flip,0003,3,4,training,training/flip/0003_000000004.jpg,4b168861d396f293a6d1a3d5b0fc5e08ab68aa2d1b834cf6278eaf9bc8b34d18,E06,train
flip__0003,flip,0003,4,5,testing,testing/flip/0003_000000005.jpg,34e316bfd6a3babcbb0bb75c90b1511a1ae1c0f166511eed60215e577e416d1a,E06,train
flip__0003,flip,0003,5,6,training,training/flip/0003_000000006.jpg,3924bfcfcff5650f524c14a03cc80b62720faecfd43f804933078fd6c999190d,E06,train
flip__0003,flip,0003,6,7,training,training/flip/0003_000000007.jpg,661111a8e1ca2d4954cad7a7792af23821ccbda610c934e21c9d3f4bbcb63cc7,E06,train
flip__0003,flip,0003,7,8,testing,testing/flip/0003_000000008.jpg,00fe3efc3425b6deaed9868c0075f57593989c8c391a2f75657591ca275c2a07,E06,train
flip__0003,flip,0003,8,9,training,training/flip/0003_000000009.jpg,fb1752823d0cbad29c1056ff1946c6ba0d168803b12a0ec2c1c6a883d20bb8f5,E06,train
flip__0003,flip,0003,9,10,training,training/flip/0003_000000010.jpg,9bbff7d2c5a56bcccc9621bfc26c5f6e59795c28b87479a47913e5effa44721e,E06,train
flip__0003,flip,0003,10,11,training,training/flip/0003_000000011.jpg,8688fd7eaf56b91059baaa7c2e6af73aa3ca7bb106ed56273836fc55c42903ce,E06,train
flip__0003,flip,0003,11,12,training,training/flip/0003_000000012.jpg,e23d9dd7df0ed6ea0b32bb2ab02edfcff8b923284cbe271145e4e9679c46f519,E06,train
flip__0003,flip,0003,12,13,training,training/flip/0003_000000013.jpg,b0783e95a335dd19ddc928f04eaafcd21c13893db730d3c1ae42227b4742a4f9,E06,train
flip__0003,flip,0003,13,14,training,training/flip/0003_000000014.jpg,1a5ce43b7ec5b43d93a5c626fe07d449451c9d5bbbd56446d50d4a91b9f20349,E06,train
flip__0003,flip,0003,14,15,training,training/flip/0003_000000015.jpg,d3690a083614ee4f9254af14f2db97a98ce0685f79e00012e44e0baf3dc31847,E06,train
flip__0003,flip,0003,15,16,training,training/flip/0003_000000016.jpg,1626aff52770101f621afbbc38f99df71af99c15163299fdc8f241949f71b777,E06,train
flip__0003,flip,0003,16,17,training,training/flip/0003_000000017.jpg,30702b97463b25afbff8ef62a290e41427750cb8a34a4bf867acfefe7477dd20,E06,train
flip__0003,flip,0003,17,18,training,training/flip/0003_000000018.jpg,65a388060eceb11086fa5b120585fea8435d3553c19c1598a07dbd3029f2efcc,E06,train
flip__0003,flip,0003,18,19,training,training/flip/0003_000000019.jpg,4051d85c68c2c5418be30196e1446d7d1c775f1e829032340d1f77c60c5ceb5b,E06,train
flip__0003,flip,0003,19,20,training,training/flip/0003_000000020.jpg,74e8c0e1ea72349df5075db86e6b5e75bf23edb18657200407c56d046829879c,E06,train
flip__0003,flip,0003,20,21,training,training/flip/0003_000000021.jpg,e2469aa5e8bac655dfc273127e997387a0dcc27681e6fbdaf86c23c8bfa95c9e,E06,train
flip__0003,flip,0003,21,22,testing,testing/flip/0003_000000022.jpg,a045a4f2ae1b2fc0b56b5e30750c8128de5874fe9a33d202b6d2b086c1babfb5,E06,train
flip__0003,flip,0003,22,23,training,training/flip/0003_000000023.jpg,012d5132587d62cf51ca51812479f1d30237e380cea89b7a7e41cee714549a19,E06,train
flip__0003,flip,0003,23,24,training,training/flip/0003_000000024.jpg,ad3eda9b65441b8c0851361a787b0ce833f17691d83483aaf0e78b7b8796e4ca,E06,train
flip__0003,flip,0003,24,25,testing,testing/flip/0003_000000025.jpg,5321c8dabb5e1831472b2e271c209e9d009be0fa454769cd0a83f8f41ea1f228,E06,train
flip__0003,flip,0003,25,26,training,training/flip/0003_000000026.jpg,93c2273e40095a2d16634f32aa4139faed33655c010257bed5d1abae8963787e,E06,train
flip__0004,flip,0004,0,5,training,training/flip/0004_000000005.jpg,b15b8dbbe7376031be56e9de68e20840b6a9beded9dccbafb38e6868ffe47b4a,S03,train
flip__0004,flip,0004,1,6,testing,testing/flip/0004_000000006.jpg,bd30f53ab3b29e153b5410df1af324dd821226fc59cf72bbdeb6774421c0d990,S03,train
flip__0004,flip,0004,2,7,training,training/flip/0004_000000007.jpg,f554e1524b2c13487750bcd26abd9551e85dc0a9fc23f6d57eda33b1edbacaeb,S03,train
flip__0004,flip,0004,3,8,training,training/flip/0004_000000008.jpg,0354cf9fd06a08dea70829733d24ba68e719588bc5c240945426a9057ebf417c,S03,train
flip__0004,flip,0004,4,9,training,training/flip/0004_000000009.jpg,484fa61c51b3469717e86fd7d2f16fd981da22cb75dc607b588ef94f40dcabc0,S03,train
flip__0004,flip,0004,5,10,training,training/flip/0004_000000010.jpg,631088cf68bba67ac17d978422ae6ed444c1d86bed7b50a446668893650c922a,S03,train
flip__0004,flip,0004,6,11,training,training/flip/0004_000000011.jpg,4255208ffe1cf181867fc3b40968942f003327f91f31c276695aa1fd5fd5901b,S03,train
flip__0004,flip,0004,7,12,training,training/flip/0004_000000012.jpg,84891a2b1ff4bea5aec725ad66d00851dd2a29e73b2b6e52187a9e41b894ad4c,S03,train
flip__0004,flip,0004,8,13,testing,testing/flip/0004_000000013.jpg,bf1f1337b7a2d89313755f4cac1b7582a92efd55a214890448666b0009bb3403,S03,train
flip__0004,flip,0004,9,14,testing,testing/flip/0004_000000014.jpg,79ac7ce8e4606e08d1c0e259ce943b8c4857252e20355a4a6a2d4cb54c8cb469,S03,train
flip__0004,flip,0004,10,15,training,training/flip/0004_000000015.jpg,438259828e99661a31fe82b68335677ab7080c89c5ffe7ffa764abd91dabb663,S03,train
flip__0004,flip,0004,11,16,training,training/flip/0004_000000016.jpg,79ea7133d9dc2949f53896b65cd136dd8f1c0667292622b4476dafd486d00ed8,S03,train
flip__0004,flip,0004,12,17,training,training/flip/0004_000000017.jpg,5d08e87ec2e0ff70daeafa492539a2456157ecec4254e403afe2f0598584a4c2,S03,train
flip__0004,flip,0004,13,18,training,training/flip/0004_000000018.jpg,7278e4c886c8b407dbebd8194b59386247e9d86cb65b39bd4e8e9593da274687,S03,train
flip__0004,flip,0004,14,19,training,training/flip/0004_000000019.jpg,34b21e62f6b6913547b58929426fb0969e882bdb1da2d5c4e57fee3159e75bf1,S03,train
flip__0004,flip,0004,15,20,training,training/flip/0004_000000020.jpg,7c9a54ac9eaaca0183fedd8c796d44e4806f45dc49ed398743c079e15ca4402c,S03,train
flip__0004,flip,0004,16,21,training,training/flip/0004_000000021.jpg,f9acf18aa7bd7e76b1c0eb1e386f782783fb08bc267efe21143b69908cebef24,S03,train
flip__0004,flip,0004,17,22,training,training/flip/0004_000000022.jpg,1ecb3d5687fc9e3de214b5f66b254f7adcd95f1c70e52ac6bb4ad715f5466eae,S03,train
flip__0004,flip,0004,18,23,training,training/flip/0004_000000023.jpg,bc9d50492182801df1b1d8cd69ba3630d0505788eb464310fc511519552501be,S03,train
flip__0004,flip,0004,19,24,training,training/flip/0004_000000024.jpg,dc58bcbeab6eba8a3894ecb0dbe87050c7c8806ef65e043488807a7133bca151,S03,train
flip__0004,flip,0004,20,25,training,training/flip/0004_000000025.jpg,3cd28a288c0263000d5f2905970516caf6f4c95cef9339cdc5964def6222bc35,S03,train
flip__0004,flip,0004,21,26,training,training/flip/0004_000000026.jpg,16188a755198e53ceca561786255354900f14dd7794b03bddd74eb26e157cd37,S03,train
flip__0004,flip,0004,22,27,testing,testing/flip/0004_000000027.jpg,92279f524bf950bced84fa38f37998cef09dc498a9f5f564309eee3c5af5706b,S03,train
flip__0004,flip,0004,23,28,training,training/flip/0004_000000028.jpg,aa1fd1625ecb95aba2acd85f63c5f4a162924ff7eb11088ef8d8dd319f7ce190,S03,train
flip__0005,flip,0005,0,1,training,training/flip/0005_000000001.jpg,753cd96521c6e3e5a3381eb1791c42008c89e4543fa2a0490fbaa34b2f57e7b6,E06,train
flip__0005,flip,0005,1,2,training,training/flip/0005_000000002.jpg,9e02c6e292754d1a43509cbb825c8ebccb6fa55ef91d73984923a27271f77d5c,E06,train
flip__0005,flip,0005,2,3,testing,testing/flip/0005_000000003.jpg,270e91b1cfa7af8d89ec21e194ff8aa4cbbef16084b41c43162f16d799ed9de3,E06,train
flip__0005,flip,0005,3,4,training,training/flip/0005_000000004.jpg,54b35db4ea2dc615f83b8738c83efec35c0adfc7c6c66e37fdc8f8d2052b8352,E06,train
flip__0005,flip,0005,4,5,training,training/flip/0005_000000005.jpg,3a14c69f5f3b3be25b13bfac1280c8c8d980996f9e86c15f72832b1ef3148993,E06,train
flip__0005,flip,0005,5,6,training,training/flip/0005_000000006.jpg,f5654e07c9ec2b206f8de4515140cd6b0ca4360be094fdebfdbd8257987b1b75,E06,train
