sequence_id,label,video_id,sequence_position,frame_num,supplied_split,path,sha256,environment_group_id,d2_split,dedup_group_id,dedup_role,dedup_keep,d3_split
flip__0001,flip,0001,0,10,training,training/flip/0001_000000010.jpg,cec180fcfcefce69a3a16c513b37395ea32668869f99cbd0d56427fcd9575af5,S01,test,157,representative,1,training
flip__0001,flip,0001,2,12,training,training/flip/0001_000000012.jpg,6ff7c30abf869e8c70f29529b4c1ff08659b00a1a290ff6601dac87046de7369,S01,test,,unique,1,training
flip__0001,flip,0001,3,13,training,training/flip/0001_000000013.jpg,04440410c62dc14110d6ecea85a8f78c53baf2db85190e2d4cb5f07b25d7a3a0,S01,test,,unique,1,training
flip__0001,flip,0001,4,14,training,training/flip/0001_000000014.jpg,312532bbd2cb12ac5f71f837ff0bd4c78cc69fcd63444c42598bb0dd1249b9ee,S01,test,,unique,1,training
flip__0001,flip,0001,5,15,training,training/flip/0001_000000015.jpg,2b403908162f9f6eddcd93c67ba4746632cdf287a1d300ed52d35e98a2ca0850,S01,test,,unique,1,training
flip__0001,flip,0001,6,16,training,training/flip/0001_000000016.jpg,5ea04b4b70aec354ff38d7d26b3d849c8c710806e5641dd8566b026cfe6b551e,S01,test,,unique,1,training
flip__0001,flip,0001,7,17,training,training/flip/0001_000000017.jpg,962234056d3f2f4e19f19d53079f8e0352e00a516b864e19ce283f9b0e9ba4da,S01,test,,unique,1,training
flip__0001,flip,0001,8,18,training,training/flip/0001_000000018.jpg,43dbd42c1cca4b673f36b785deeef178bf5878d8c90c022e57c7a3d08ae056d2,S01,test,,unique,1,training
flip__0001,flip,0001,9,19,training,training/flip/0001_000000019.jpg,b0478504df79b476c7f8b9e37b2ba3294335055b082098ba3c60bcd4c6e60799,S01,test,,unique,1,training
flip__0001,flip,0001,10,20,testing,testing/flip/0001_000000020.jpg,d565e4ab10ad4242f6ed2cee31a631e13a50c49abecbe227c601cb8e69b06862,S01,test,,unique,1,testing
flip__0001,flip,0001,11,21,training,training/flip/0001_000000021.jpg,846abab9c7e7b34c1abc5bd5df34cf96f259d2d76bf8e508a042eca2adc1cbc2,S01,test,,unique,1,training
flip__0001,flip,0001,12,22,training,training/flip/0001_000000022.jpg,30260bb2f9cb4960aa14e1c83b694c1c6854193ef2caeadd1550dfb64809a0a7,S01,test,,unique,1,training
