sequence_id,label,video_id,environment_group_id,group_type,group_clip_count,group_labels,frame_count,training_frames,testing_frames
flip__0001,flip,0001,S01,singleton,1,flip,16,15,1
flip__0002,flip,0002,S02,singleton,1,flip,13,9,4
flip__0003,flip,0003,E06,multi_clip,5,flip|notflip,26,22,4
flip__0004,flip,0004,S03,singleton,1,flip,24,20,4
flip__0005,flip,0005,E06,multi_clip,5,flip|notflip,30,25,5
flip__0006,flip,0006,S04,singleton,1,flip,30,21,9
flip__0007,flip,0007,E06,multi_clip,5,flip|notflip,26,23,3
flip__0008,flip,0008,E06,multi_clip,5,flip|notflip,29,24,5
flip__0009,flip,0009,S05,singleton,1,flip,28,21,7
flip__0010,flip,0010,S06,singleton,1,flip,27,21,6
flip__0011,flip,0011,S07,singleton,1,flip,26,21,5
flip__0012,flip,0012,E10,multi_clip,3,flip,24,17,7
flip__0013,flip,0013,E10,multi_clip,3,flip,27,22,5
flip__0014,flip,0014,S08,singleton,1,flip,23,12,11
flip__0015,flip,0015,S09,singleton,1,flip,30,25,5
flip__0016,flip,0016,E05,multi_clip,6,flip,29,24,5
flip__0017,flip,0017,E05,multi_clip,6,flip,19,17,2
flip__0018,flip,0018,E05,multi_clip,6,flip,26,21,5
flip__0019,flip,0019,E05,multi_clip,6,flip,19,17,2
flip__0020,flip,0020,E05,multi_clip,6,flip,20,14,6
flip__0021,flip,0021,E05,multi_clip,6,flip,21,17,4
flip__0022,flip,0022,E10,multi_clip,3,flip,18,16,2
flip__0023,flip,0023,E11,multi_clip,3,flip,14,14,0
flip__0024,flip,0024,E02,multi_clip,9,flip|notflip,12,9,3
flip__0025,flip,0025,E02,multi_clip,9,flip|notflip,11,11,0
flip__0026,flip,0026,E11,multi_clip,3,flip,15,12,3
flip__0027,flip,0027,E11,multi_clip,3,flip,10,7,3
flip__0028,flip,0028,E08,multi_clip,4,flip|notflip,28,25,3
flip__0029,flip,0029,E08,multi_clip,4,flip|notflip,20,16,4
flip__0030,flip,0030,S10,singleton,1,flip,38,30,8
flip__0031,flip,0031,E02,multi_clip,9,flip|notflip,15,12,3
flip__0032,flip,0032,E02,multi_clip,9,flip|notflip,9,8,1
flip__0033,flip,0033,E02,multi_clip,9,flip|notflip,11,9,2
flip__0034,flip,0034,S11,singleton,1,flip,13,8,5
flip__0035,flip,0035,E01,multi_clip,12,flip|notflip,16,13,3
flip__0036,flip,0036,E01,multi_clip,12,flip|notflip,21,14,7
flip__0037,flip,0037,E01,multi_clip,12,flip|notflip,26,18,8
flip__0038,flip,0038,E14,multi_clip,2,flip,46,34,12
flip__0039,flip,0039,E01,multi_clip,12,flip|notflip,21,20,1
flip__0040,flip,0040,S12,singleton,1,flip,25,21,4
flip__0041,flip,0041,S13,singleton,1,flip,20,13,7
flip__0042,flip,0042,S14,singleton,1,flip,30,24,6
flip__0043,flip,0043,E01,multi_clip,12,flip|notflip,10,8,2
flip__0044,flip,0044,S15,singleton,1,flip,27,22,5
flip__0045,flip,0045,E01,multi_clip,12,flip|notflip,24,23,1
flip__0046,flip,0046,E01,multi_clip,12,flip|notflip,22,13,9
flip__0047,flip,0047,E14,multi_clip,2,flip,25,21,4
flip__0048,flip,0048,S16,singleton,1,flip,22,20,2
flip__0049,flip,0049,E07,multi_clip,5,flip,14,9,5
flip__0050,flip,0050,E15,multi_clip,2,flip,14,12,2
flip__0051,flip,0051,E03,multi_clip,8,flip|notflip,16,14,2
flip__0052,flip,0052,E07,multi_clip,5,flip,17,14,3
flip__0053,flip,0053,E03,multi_clip,8,flip|notflip,30,26,4
flip__0054,flip,0054,E03,multi_clip,8,flip|notflip,22,16,6
flip__0055,flip,0055,E03,multi_clip,8,flip|notflip,20,16,4
flip__0056,flip,0056,E07,multi_clip,5,flip,17,15,2
flip__0057,flip,0057,E07,multi_clip,5,flip,20,18,2
flip__0058,flip,0058,E15,multi_clip,2,flip,29,23,6
flip__0059,flip,0059,E03,multi_clip,8,flip|notflip,30,25,5
flip__0060,flip,0060,S17,singleton,1,flip,55,43,12
flip__0061,flip,0061,E03,multi_clip,8,flip|notflip,22,16,6
flip__0062,flip,0062,E03,multi_clip,8,flip|notflip,30,22,8
flip__0063,flip,0063,S18,singleton,1,flip,14,11,3
flip__0064,flip,0064,E07,multi_clip,5,flip,11,10,1
flip__0065,flip,0065,E09,multi_clip,4,flip|notflip,29,23,6
notflip__0001,notflip,0001,E06,multi_clip,5,flip|notflip,30,25,5
notflip__0002,notflip,0002,S19,singleton,1,notflip,30,22,8
notflip__0003,notflip,0003,S20,singleton,1,notflip,30,26,4
notflip__0004,notflip,0004,E12,multi_clip,3,notflip,35,26,9
notflip__0005,notflip,0005,E12,multi_clip,3,notflip,30,25,5
notflip__0006,notflip,0006,S21,singleton,1,notflip,30,20,10
notflip__0007,notflip,0007,S22,singleton,1,notflip,30,28,2
notflip__0008,notflip,0008,E12,multi_clip,3,notflip,30,24,6
notflip__0009,notflip,0009,S23,singleton,1,notflip,30,22,8
notflip__0010,notflip,0010,S24,singleton,1,notflip,30,27,3
notflip__0011,notflip,0011,S25,singleton,1,notflip,30,27,3
notflip__0015,notflip,0015,S26,singleton,1,notflip,30,24,6
notflip__0016,notflip,0016,S27,singleton,1,notflip,25,20,5
notflip__0019,notflip,0019,E08,multi_clip,4,flip|notflip,30,23,7
notflip__0020,notflip,0020,E08,multi_clip,4,flip|notflip,21,17,4
notflip__0021,notflip,0021,S28,singleton,1,notflip,8,6,2
notflip__0023,notflip,0023,E02,multi_clip,9,flip|notflip,30,25,5
notflip__0024,notflip,0024,E02,multi_clip,9,flip|notflip,30,21,9
