environment_group_id,group_type,clip_count,frame_count,flip_frames,notflip_frames,training_frames,testing_frames,mixed_label_group,labels,sequences
E01,multi_clip,12,290,140,150,224,66,1,flip|notflip,flip__0035|flip__0036|flip__0037|flip__0039|flip__0043|flip__0045|flip__0046|notflip__0028|notflip__0029|notflip__0032|notflip__0038|notflip__0040
E02,multi_clip,9,178,58,120,142,36,1,flip|notflip,flip__0024|flip__0025|flip__0031|flip__0032|flip__0033|notflip__0023|notflip__0024|notflip__0025|notflip__0026
E03,multi_clip,8,207,170,37,161,46,1,flip|notflip,flip__0051|flip__0053|flip__0054|flip__0055|flip__0059|flip__0061|flip__0062|notflip__0041
E04,multi_clip,8,240,0,240,194,46,0,notflip,notflip__0042|notflip__0044|notflip__0045|notflip__0046|notflip__0047|notflip__0048|notflip__0049|notflip__0057
E05,multi_clip,6,134,134,0,110,24,0,flip,flip__0016|flip__0017|flip__0018|flip__0019|flip__0020|flip__0021
E06,multi_clip,5,141,111,30,119,22,1,flip|notflip,flip__0003|flip__0005|flip__0007|flip__0008|notflip__0001
E07,multi_clip,5,79,79,0,66,13,0,flip,flip__0049|flip__0052|flip__0056|flip__0057|flip__0064
E08,multi_clip,4,99,48,51,81,18,1,flip|notflip,flip__0028|flip__0029|notflip__0019|notflip__0020
E09,multi_clip,4,119,29,90,97,22,1,flip|notflip,flip__0065|notflip__0053|notflip__0055|notflip__0058
E10,multi_clip,3,69,69,0,55,14,0,flip,flip__0012|flip__0013|flip__0022
E11,multi_clip,3,39,39,0,33,6,0,flip,flip__0023|flip__0026|flip__0027
E12,multi_clip,3,95,0,95,75,20,0,notflip,notflip__0004|notflip__0005|notflip__0008
E13,multi_clip,3,92,0,92,72,20,0,notflip,notflip__0034|notflip__0035|notflip__0037
E14,multi_clip,2,71,71,0,55,16,0,flip,flip__0038|flip__0047
E15,multi_clip,2,43,43,0,35,8,0,flip,flip__0050|flip__0058
S01,singleton,1,16,16,0,15,1,0,flip,flip__0001
S02,singleton,1,13,13,0,9,4,0,flip,flip__0002
S03,singleton,1,24,24,0,20,4,0,flip,flip__0004
S04,singleton,1,30,30,0,21,9,0,flip,flip__0006
S05,singleton,1,28,28,0,21,7,0,flip,flip__0009
S06,singleton,1,27,27,0,21,6,0,flip,flip__0010
S07,singleton,1,26,26,0,21,5,0,flip,flip__0011
S08,singleton,1,23,23,0,12,11,0,flip,flip__0014
S09,singleton,1,30,30,0,25,5,0,flip,flip__0015
S10,singleton,1,38,38,0,30,8,0,flip,flip__0030
S11,singleton,1,13,13,0,8,5,0,flip,flip__0034
S12,singleton,1,25,25,0,21,4,0,flip,flip__0040
S13,singleton,1,20,20,0,13,7,0,flip,flip__0041
S14,singleton,1,30,30,0,24,6,0,flip,flip__0042
S15,singleton,1,27,27,0,22,5,0,flip,flip__0044
S16,singleton,1,22,22,0,20,2,0,flip,flip__0048
S17,singleton,1,55,55,0,43,12,0,flip,flip__0060
S18,singleton,1,14,14,0,11,3,0,flip,flip__0063
S19,singleton,1,30,0,30,22,8,0,notflip,notflip__0002
S20,singleton,1,30,0,30,26,4,0,notflip,notflip__0003
S21,singleton,1,30,0,30,20,10,0,notflip,notflip__0006
S22,singleton,1,30,0,30,28,2,0,notflip,notflip__0007
S23,singleton,1,30,0,30,22,8,0,notflip,notflip__0009
S24,singleton,1,30,0,30,27,3,0,notflip,notflip__0010
S25,singleton,1,30,0,30,27,3,0,notflip,notflip__0011
S26,singleton,1,30,0,30,24,6,0,notflip,notflip__0015
S27,singleton,1,25,0,25,20,5,0,notflip,notflip__0016
S28,singleton,1,8,0,8,6,2,0,notflip,notflip__0021
S29,singleton,1,30,0,30,23,7,0,notflip,notflip__0027
S30,singleton,1,30,0,30,22,8,0,notflip,notflip__0030
S31,singleton,1,30,0,30,22,8,0,notflip,notflip__0031
S32,singleton,1,30,0,30,22,8,0,notflip,notflip__0033
S33,singleton,1,30,0,30,22,8,0,notflip,notflip__0036
S34,singleton,1,30,0,30,27,3,0,notflip,notflip__0039
S35,singleton,1,30,0,30,27,3,0,notflip,notflip__0043
S36,singleton,1,29,0,29,27,2,0,notflip,notflip__0050
S37,singleton,1,30,0,30,27,3,0,notflip,notflip__0051
S38,singleton,1,30,0,30,26,4,0,notflip,notflip__0052
S39,singleton,1,30,0,30,26,4,0,notflip,notflip__0054
S40,singleton,1,30,0,30,23,7,0,notflip,notflip__0056
