i,j,ssim,dhash,phash,bucket,path_a,path_b,sequence_a,sequence_b,split_a,split_b,label_a,label_b,frame_a,frame_b
291,1760,0.9999993053355317,0,0,same_sequence_cross_split,testing/notflip/0001_000000004.jpg,training/notflip/0001_000000003.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,4,3
290,291,0.9999988400184847,0,0,same_sequence_same_split,testing/notflip/0001_000000002.jpg,testing/notflip/0001_000000004.jpg,notflip__0001,notflip__0001,testing,testing,notflip,notflip,2,4
290,1760,0.9999986918783903,0,0,same_sequence_cross_split,testing/notflip/0001_000000002.jpg,training/notflip/0001_000000003.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,2,3
502,2539,0.9999977542760324,0,0,same_sequence_cross_split,testing/notflip/0041_000000003.jpg,training/notflip/0041_000000002.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,3,2
2055,2056,0.9999962701102061,0,0,same_sequence_same_split,training/notflip/0016_000000002.jpg,training/notflip/0016_000000003.jpg,notflip__0016,notflip__0016,training,training,notflip,notflip,2,3
359,2056,0.9999848220229273,0,0,same_sequence_cross_split,testing/notflip/0016_000000001.jpg,training/notflip/0016_000000003.jpg,notflip__0016,notflip__0016,testing,training,notflip,notflip,1,3
359,2055,0.9999829684084407,0,0,same_sequence_cross_split,testing/notflip/0016_000000001.jpg,training/notflip/0016_000000002.jpg,notflip__0016,notflip__0016,testing,training,notflip,notflip,1,2
290,1759,0.9999802623038753,0,0,same_sequence_cross_split,testing/notflip/0001_000000002.jpg,training/notflip/0001_000000001.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,2,1
291,1759,0.9999799235805478,0,0,same_sequence_cross_split,testing/notflip/0001_000000004.jpg,training/notflip/0001_000000001.jpg,notflip__0001,notflip__0001,testing,training,notflip,notflip,4,1
1759,1760,0.9999798614930021,0,0,same_sequence_same_split,training/notflip/0001_000000001.jpg,training/notflip/0001_000000003.jpg,notflip__0001,notflip__0001,training,training,notflip,notflip,1,3
501,2539,0.9999775026721136,0,0,same_sequence_cross_split,testing/notflip/0041_000000001.jpg,training/notflip/0041_000000002.jpg,notflip__0041,notflip__0041,testing,training,notflip,notflip,1,2
501,502,0.9999773462437118,0,0,same_sequence_same_split,testing/notflip/0041_000000001.jpg,testing/notflip/0041_000000003.jpg,notflip__0041,notflip__0041,testing,testing,notflip,notflip,1,3
1495,1496,0.9999726314799396,0,0,same_sequence_same_split,training/flip/0053_000000001.jpg,training/flip/0053_000000002.jpg,flip__0053,flip__0053,training,training,flip,flip,1,2
858,859,0.9999453486472729,0,0,same_sequence_same_split,training/flip/0014_000000001.jpg,training/flip/0014_000000002.jpg,flip__0014,flip__0014,training,training,flip,flip,1,2
281,1717,0.9999229441844223,0,0,same_sequence_cross_split,testing/flip/0063_000000014.jpg,training/flip/0063_000000013.jpg,flip__0063,flip__0063,testing,training,flip,flip,14,13
426,427,0.9999107477340113,0,0,same_sequence_same_split,testing/notflip/0030_000000022.jpg,testing/notflip/0030_000000023.jpg,notflip__0030,notflip__0030,testing,testing,notflip,notflip,22,23
622,623,0.9999095965030443,0,0,same_sequence_same_split,training/flip/0003_000000002.jpg,training/flip/0003_000000003.jpg,flip__0003,flip__0003,training,training,flip,flip,2,3
901,902,0.9999062538578886,0,0,same_sequence_same_split,training/flip/0016_000000011.jpg,training/flip/0016_000000012.jpg,flip__0016,flip__0016,training,training,flip,flip,11,12
2300,2301,0.9999051085990306,0,0,same_sequence_same_split,training/notflip/0030_000000019.jpg,training/notflip/0030_000000020.jpg,notflip__0030,notflip__0030,training,training,notflip,notflip,19,20
83,899,0.999897405840798,0,0,same_sequence_cross_split,testing/flip/0016_000000008.jpg,training/flip/0016_000000009.jpg,flip__0016,flip__0016,testing,training,flip,flip,8,9
