dedup_group_id,group_size,representative_path,representative_sequence,representative_split,representative_label,sequence_count,split_count,label_count,min_ssim_within_confirmed_edges,max_ssim_within_confirmed_edges
1,30,training/notflip/0002_000000001.jpg,notflip__0002,training,notflip,1,2,1,0.9502839411084713,0.9960613302167364
2,26,testing/notflip/0009_000000005.jpg,notflip__0009,testing,notflip,1,2,1,0.9507029489863569,0.9866279930765823
3,26,training/notflip/0051_000000005.jpg,notflip__0051,training,notflip,1,2,1,0.950610592251652,0.9894203216994594
4,23,testing/notflip/0037_000000008.jpg,notflip__0037,testing,notflip,1,2,1,0.9506979328978532,0.9967931196186194
5,22,training/notflip/0024_000000001.jpg,notflip__0024,training,notflip,1,2,1,0.952551224029965,0.9950870853095858
6,22,training/notflip/0048_000000009.jpg,notflip__0048,training,notflip,1,2,1,0.9500875977442274,0.9970116193114698
7,21,training/notflip/0020_000000001.jpg,notflip__0020,training,notflip,1,2,1,0.9542513331343522,0.99390318714875
8,21,training/notflip/0033_000000010.jpg,notflip__0033,training,notflip,1,2,1,0.9508140881106694,0.99362970337291
9,20,training/notflip/0041_000000018.jpg,notflip__0041,training,notflip,1,2,1,0.951761887924568,0.9950049191174734
10,20,training/notflip/0042_000000009.jpg,notflip__0042,training,notflip,1,2,1,0.9519527432414838,0.9885135888764717
11,20,training/notflip/0047_000000011.jpg,notflip__0047,training,notflip,1,2,1,0.9503709437233366,0.9950366324937965
12,20,training/notflip/0055_000000011.jpg,notflip__0055,training,notflip,1,2,1,0.9500488008338424,0.9900818514354862
13,20,testing/notflip/0056_000000011.jpg,notflip__0056,testing,notflip,1,2,1,0.9500656714127609,0.9970968408155262
14,19,training/notflip/0010_000000012.jpg,notflip__0010,training,notflip,1,2,1,0.9511500578633449,0.9799994846899743
15,19,testing/notflip/0049_000000012.jpg,notflip__0049,testing,notflip,1,2,1,0.950210576014864,0.9962042130470731
16,19,training/notflip/0058_000000012.jpg,notflip__0058,training,notflip,1,2,1,0.9515889863157678,0.9951665708609947
17,18,testing/notflip/0035_000000015.jpg,notflip__0035,testing,notflip,1,2,1,0.9503163801773592,0.9933223594427957
18,17,training/notflip/0019_000000006.jpg,notflip__0019,training,notflip,1,2,1,0.9512990376815562,0.9913756863736266
