sequence_id,label,video_id,sample_position_index,sequence_frame_index,frame_num,path,numeric_token_count,top_candidates,left_page_candidate,right_page_candidate,pair_score
flip__0001,flip,0001,0,0,10,training/flip/0001_000000010.jpg,12,"[{""value"": 19, ""conf"": 24.0, ""cx"": 0.177, ""cy"": 0.22, ""score"": 1.704}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.44, ""cy"": 0.985, ""score"": 1.527}, {""value"": 11, ""conf"": 0.0, ""cx"": 0.126, ""cy"": 0.196, ""score"": 1.483}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.092, ""cy"": 0.222, ""score"": 1.475}, {""value"": 933, ""conf"": 0.0, ""cx"": 0.322, ""cy"": 0.192, ""score"": 1.456}, {""value"": 6, ""conf"": 27.0, ""cx"": 0.524, ""cy"": 0.269, ""score"": 1.264}, {""value"": 2, ""conf"": 49.0, ""cx"": 0.034, ""cy"": 0.578, ""score"": 0.674}, {""value"": 576, ""conf"": 0.0, ""cx"": 0.155, ""cy"": 0.306, ""score"": 0.624}]",19,6,2.4179
flip__0001,flip,0001,1,4,14,training/flip/0001_000000014.jpg,8,"[{""value"": 11, ""conf"": 0.0, ""cx"": 0.122, ""cy"": 0.198, ""score"": 1.482}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.129, ""cy"": 0.225, ""score"": 1.468}, {""value"": 14, ""conf"": 7.0, ""cx"": 0.508, ""cy"": 0.272, ""score"": 1.06}, {""value"": 2, ""conf"": 64.0, ""cx"": 0.485, ""cy"": 0.31, ""score"": 0.812}, {""value"": 576, ""conf"": 0.0, ""cx"": 0.171, ""cy"": 0.308, ""score"": 0.62}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.242, ""cy"": 0.638, ""score"": 0.583}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.097, ""cy"": 0.392, ""score"": 0.19}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.036, ""cy"": 0.58, ""score"": 0.184}]",11,14,3.5929
flip__0001,flip,0001,2,8,18,training/flip/0001_000000018.jpg,18,"[{""value"": 3, ""conf"": 0.0, ""cx"": 0.161, ""cy"": 0.187, ""score"": 1.482}, {""value"": 131, ""conf"": 0.0, ""cx"": 0.162, ""cy"": 0.197, ""score"": 1.477}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.132, ""cy"": 0.223, ""score"": 1.469}, {""value"": 2, ""conf"": 68.0, ""cx"": 0.039, ""cy"": 0.578, ""score"": 0.863}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.128, ""cy"": 0.334, ""score"": 0.614}, {""value"": 576, ""conf"": 0.0, ""cx"": 0.306, ""cy"": 0.31, ""score"": 0.599}, {""value"": 4, ""conf"": 0.0, ""cx"": 0.187, ""cy"": 0.64, ""score"": 0.592}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.324, ""cy"": 0.376, ""score"": 0.563}]",,,
flip__0001,flip,0001,3,11,21,training/flip/0001_000000021.jpg,10,"[{""value"": 11, ""conf"": 0.0, ""cx"": 0.145, ""cy"": 0.198, ""score"": 1.479}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.129, ""cy"": 0.224, ""score"": 1.469}, {""value"": 7, ""conf"": 62.0, ""cx"": 0.371, ""cy"": 0.548, ""score"": 0.739}, {""value"": 7, ""conf"": 16.0, ""cx"": 0.412, ""cy"": 0.351, ""score"": 0.723}, {""value"": 576, ""conf"": 0.0, ""cx"": 0.31, ""cy"": 0.31, ""score"": 0.598}, {""value"": 9, ""conf"": 0.0, ""cx"": 0.348, ""cy"": 0.378, ""score"": 0.559}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.072, ""cy"": 0.426, ""score"": 0.176}, {""value"": 150, ""conf"": 0.0, ""cx"": 0.087, ""cy"": 0.446, ""score"": 0.164}]",,,
flip__0001,flip,0001,4,15,25,training/flip/0001_000000025.jpg,2,"[{""value"": 2, ""conf"": 0.0, ""cx"": 0.948, ""cy"": 0.689, ""score"": 0.637}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.818, ""cy"": 0.447, ""score"": 0.149}]",,,
flip__0002,flip,0002,0,0,9,training/flip/0002_000000009.jpg,14,"[{""value"": 1, ""conf"": 18.0, ""cx"": 0.43, ""cy"": 0.261, ""score"": 1.585}, {""value"": 3, ""conf"": 1.0, ""cx"": 0.459, ""cy"": 0.969, ""score"": 1.126}, {""value"": 965, ""conf"": 0.0, ""cx"": 0.596, ""cy"": 0.323, ""score"": 0.578}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.591, ""cy"": 0.332, ""score"": 0.573}, {""value"": 38, ""conf"": 0.0, ""cx"": 0.334, ""cy"": 0.357, ""score"": 0.572}, {""value"": 8, ""conf"": 41.0, ""cx"": 0.575, ""cy"": 0.398, ""score"": 0.547}, {""value"": 3, ""conf"": 27.0, ""cx"": 0.611, ""cy"": 0.384, ""score"": 0.42}, {""value"": 2, ""conf"": 7.0, ""cx"": 0.164, ""cy"": 0.576, ""score"": 0.233}]",2,3,2.9029
flip__0002,flip,0002,1,3,12,testing/flip/0002_000000012.jpg,12,"[{""value"": 23, ""conf"": 66.0, ""cx"": 0.454, ""cy"": 0.847, ""score"": 1.716}, {""value"": 250, ""conf"": 0.0, ""cx"": 0.435, ""cy"": 0.278, ""score"": 1.396}, {""value"": 4, ""conf"": 0.0, ""cx"": 0.463, ""cy"": 0.898, ""score"": 1.08}, {""value"": 23, ""conf"": 0.0, ""cx"": 0.275, ""cy"": 0.354, ""score"": 0.582}, {""value"": 8, ""conf"": 0.0, ""cx"": 0.369, ""cy"": 0.358, ""score"": 0.565}, {""value"": 4, ""conf"": 40.0, ""cx"": 0.397, ""cy"": 0.542, ""score"": 0.512}, {""value"": 1, ""conf"": 10.0, ""cx"": 0.275, ""cy"": 0.539, ""score"": 0.228}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.184, ""cy"": 0.443, ""score"": 0.151}]",,,
flip__0002,flip,0002,2,6,15,testing/flip/0002_000000015.jpg,10,"[{""value"": 7, ""conf"": 31.0, ""cx"": 0.168, ""cy"": 0.264, ""score"": 1.753}, {""value"": 4, ""conf"": 60.0, ""cx"": 0.274, ""cy"": 0.539, ""score"": 0.729}, {""value"": 6, ""conf"": 56.0, ""cx"": 0.383, ""cy"": 0.501, ""score"": 0.653}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.449, ""cy"": 0.361, ""score"": 0.552}, {""value"": 8, ""conf"": 14.0, ""cx"": 0.214, ""cy"": 0.537, ""score"": 0.276}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.413, ""cy"": 0.396, ""score"": 0.14}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.209, ""cy"": 0.477, ""score"": 0.13}, {""value"": 128, ""conf"": 0.0, ""cx"": 0.424, ""cy"": 0.415, ""score"": 0.129}]",,,
flip__0002,flip,0002,3,9,18,training/flip/0002_000000018.jpg,7,"[{""value"": 4, ""conf"": 91.0, ""cx"": 0.297, ""cy"": 0.722, ""score"": 2.326}, {""value"": 35, ""conf"": 22.0, ""cx"": 0.837, ""cy"": 0.329, ""score"": 0.831}, {""value"": 10, ""conf"": 0.0, ""cx"": 0.209, ""cy"": 0.37, ""score"": 0.584}, {""value"": 3, ""conf"": 0.0, ""cx"": 0.616, ""cy"": 0.369, ""score"": 0.558}, {""value"": 4, ""conf"": 35.0, ""cx"": 0.234, ""cy"": 0.549, ""score"": 0.489}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.825, ""cy"": 0.436, ""score"": 0.156}, {""value"": 13, ""conf"": 0.0, ""cx"": 0.257, ""cy"": 0.487, ""score"": 0.118}]",4,3,5.1339
flip__0002,flip,0002,4,12,21,training/flip/0002_000000021.jpg,11,"[{""value"": 2, ""conf"": 89.0, ""cx"": 0.148, ""cy"": 0.642, ""score"": 1.489}, {""value"": 53, ""conf"": 44.0, ""cx"": 0.579, ""cy"": 0.367, ""score"": 0.993}, {""value"": 3, ""conf"": 40.0, ""cx"": 0.581, ""cy"": 0.377, ""score"": 0.949}, {""value"": 43, ""conf"": 20.0, ""cx"": 0.577, ""cy"": 0.372, ""score"": 0.75}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.842, ""cy"": 0.43, ""score"": 0.161}, {""value"": 2, ""conf"": 0.0, ""cx"": 0.169, ""cy"": 0.537, ""score"": 0.143}, {""value"": 1, ""conf"": 0.0, ""cx"": 0.579, ""cy"": 0.395, ""score"": 0.14}, {""value"": 7, ""conf"": 0.0, ""cx"": 0.763, ""cy"": 0.471, ""score"": 0.129}]",2,3,4.6874
