sequence_id,label,video_id,sampled_frames,detected_page_values,detected_page_value_count,min_detected_page,max_detected_page
flip__0001,flip,0001,5,"[6, 11, 14, 19]",4,6,19
flip__0002,flip,0002,5,"[2, 3, 4]",3,2,4
flip__0003,flip,0003,5,"[1, 2, 3, 4, 7]",5,1,7
flip__0004,flip,0004,5,"[2, 3, 4, 7, 8]",5,2,8
flip__0005,flip,0005,5,"[1, 2, 4, 5]",4,1,5
flip__0006,flip,0006,5,"[1, 2, 8, 9]",4,1,9
flip__0007,flip,0007,5,[],0,,
flip__0008,flip,0008,5,"[1, 2, 4, 5, 7, 8]",6,1,8
flip__0009,flip,0009,5,"[1, 2, 4, 5, 7]",5,1,7
flip__0010,flip,0010,5,"[1, 2, 3, 4, 5, 8]",6,1,8
flip__0011,flip,0011,5,"[2, 4, 5, 8]",4,2,8
flip__0012,flip,0012,5,"[1, 2, 3, 4, 5]",5,1,5
flip__0013,flip,0013,5,"[2, 3, 4, 5, 7, 10, 39]",7,2,39
flip__0014,flip,0014,5,"[1, 2, 3, 4, 5, 7]",6,1,7
flip__0015,flip,0015,5,"[1, 2, 4, 5]",4,1,5
flip__0016,flip,0016,5,"[1, 2, 3, 4, 623]",5,1,623
flip__0017,flip,0017,5,"[1, 2, 7, 8]",4,1,8
flip__0018,flip,0018,5,"[1, 2, 4]",3,1,4
flip__0019,flip,0019,5,"[1, 2, 4, 5, 7, 8, 44]",7,1,44
flip__0020,flip,0020,5,"[1, 2, 3, 4, 5, 8]",6,1,8
flip__0021,flip,0021,5,"[1, 2, 3, 4, 5, 7, 8, 10]",8,1,10
flip__0022,flip,0022,5,"[1, 2, 3, 4, 7]",5,1,7
flip__0023,flip,0023,5,"[1, 2, 3, 4, 5, 7, 9]",7,1,9
flip__0024,flip,0024,5,"[2, 4, 5, 7]",4,2,7
flip__0025,flip,0025,5,"[1, 2, 3, 4]",4,1,4
flip__0026,flip,0026,5,"[2, 3, 4]",3,2,4
flip__0027,flip,0027,5,"[1, 2, 3, 8, 10]",5,1,10
flip__0028,flip,0028,5,"[2, 3, 4, 5, 85, 138]",6,2,138
flip__0029,flip,0029,5,"[1, 2, 3, 23]",4,1,23
flip__0030,flip,0030,5,"[1, 2, 22, 37]",4,1,37
flip__0031,flip,0031,5,"[1, 2, 3, 4, 5]",5,1,5
flip__0032,flip,0032,5,"[1, 2, 4, 5, 7, 8]",6,1,8
flip__0033,flip,0033,5,"[1, 2, 3, 4, 47, 118]",6,1,118
flip__0034,flip,0034,5,[],0,,
flip__0035,flip,0035,5,"[5, 6, 9, 16]",4,5,16
flip__0036,flip,0036,5,"[1, 2, 3, 7, 8]",5,1,8
flip__0037,flip,0037,5,"[3, 4, 5, 7, 17, 20]",6,3,20
flip__0038,flip,0038,5,"[1, 2, 4, 5, 7, 8]",6,1,8
flip__0039,flip,0039,5,"[1, 2, 4, 23, 24]",5,1,24
flip__0040,flip,0040,5,"[1, 2, 26]",3,1,26
flip__0041,flip,0041,5,[],0,,
flip__0042,flip,0042,5,"[1, 2]",2,1,2
flip__0043,flip,0043,5,"[1, 3, 14, 98]",4,1,98
flip__0044,flip,0044,5,"[1, 2]",2,1,2
flip__0045,flip,0045,5,"[1, 2, 5, 8]",4,1,8
flip__0046,flip,0046,5,"[1, 2, 7, 10]",4,1,10
flip__0047,flip,0047,5,"[1, 2, 3, 4, 5]",5,1,5
flip__0048,flip,0048,5,"[1, 2, 3, 4, 7, 8]",6,1,8
flip__0049,flip,0049,5,"[2, 3, 4, 5, 8]",5,2,8
flip__0050,flip,0050,5,"[4, 5]",2,4,5
flip__0051,flip,0051,5,"[1, 2, 3, 5, 296]",5,1,296
flip__0052,flip,0052,5,"[1, 2, 3, 9]",4,1,9
flip__0053,flip,0053,5,"[1, 7, 8, 11, 19, 303]",6,1,303
flip__0054,flip,0054,5,"[1, 2, 4, 5, 6, 15, 302, 510]",8,1,510
flip__0055,flip,0055,5,"[1, 2, 5, 8, 23, 24]",6,1,24
flip__0056,flip,0056,5,"[1, 2]",2,1,2
flip__0057,flip,0057,5,"[1, 2, 4, 5, 22, 308, 927]",7,1,927
flip__0058,flip,0058,5,"[1, 2, 3, 7, 35, 233, 235]",7,1,235
