sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3,candidate_rank,component_id,review_page,review_row
notflip__0025,notflip__0026,notflip,notflip,0025,0026,0,0.0023507203441113234,0.0034775808453559875,0.0005747079849243164,0.01221690233796835,0.011759518645703793,0.0036845983787767134,0.0029476787030213707,0.0,0.0014738393515106854,0.0,0.001694915254237288,1,1,1,1,C05,1,1
notflip__0044,notflip__0048,notflip,notflip,0044,0048,0,0.001103714108467102,0.002584566595032811,0.0026285648345947266,0.016077671200037003,0.01599232293665409,0.0,0.001915991156963891,0.0011790714812085483,0.005747973470891673,0.0008843036109064112,0.0017391304347826088,1,1,1,2,C15,1,2
flip__0024,flip__0033,flip,flip,0024,0033,0,0.0022273536305874586,0.005635940935462713,0.0034735798835754395,0.013957287184894085,0.015421724878251553,0.0029476787030213707,0.011201179071481208,0.002800294767870302,0.0029476787030213707,0.0007369196757553427,0.0031982313927781873,1,1,1,3,C05,1,3
notflip__0046,notflip__0057,notflip,notflip,0046,0057,0,0.001480658887885511,0.006891012191772461,0.0028052330017089844,0.019733242690563202,0.018809005618095398,0.0005895357406042742,0.017686072218128224,0.0014738393515106854,0.015327929255711128,0.0020633750921149594,0.005747973470891673,1,1,1,4,C15,1,4
flip__0012,flip__0022,flip,flip,0012,0022,0,0.002225331962108612,0.004392390605062246,0.003957808017730713,0.018410852178931236,0.0249662846326828,0.002800294767870302,0.006484893146647015,0.004421518054532056,0.01105379513633014,0.005600589535740604,0.00576271186440678,1,1,1,5,C02,1,5
notflip__0023,notflip__0024,notflip,notflip,0023,0024,0,0.0030291725415736437,0.006824848707765341,0.005711495876312256,0.01578887365758419,0.01876750774681568,0.007369196757553427,0.01709653647752395,0.008843036109064112,0.005158437730287398,0.001915991156963891,0.006757553426676492,1,1,1,6,C05,1,6
notflip__0047,notflip__0049,notflip,notflip,0047,0049,0,0.003371040103957057,0.002321583451703191,0.005225419998168945,0.020611034706234932,0.017439566552639008,0.009579955784819455,0.0014738393515106854,0.007221812822402358,0.01694915254237288,0.0011790714812085483,0.007789240972733973,1,1,1,7,C15,1,7
flip__0052,flip__0056,flip,flip,0052,0056,0,0.0015785818686708808,0.007954076863825321,0.001512289047241211,0.021785225719213486,0.021988797932863235,0.0010316875460574797,0.023581429624170966,0.00014738393515106854,0.02225497420781135,0.0029476787030213707,0.007877671333824613,1,1,1,8,C09,1,8
notflip__0042,notflip__0045,notflip,notflip,0042,0045,0,0.0028482924681156874,0.00355713814496994,0.01064145565032959,0.01779525727033615,0.017512191087007523,0.006337509211495947,0.0030950626381724394,0.024760501105379515,0.009432571849668387,0.0013264554163596167,0.008142962417096536,1,1,1,9,C15,2,1
flip__0028,notflip__0019,flip,notflip,0028,0019,0,0.0029293522238731384,0.005134899169206619,0.0016036629676818848,0.02137862890958786,0.027601411566138268,0.006632277081798084,0.00913780397936625,0.0004421518054532056,0.01915991156963891,0.008400884303610906,0.008901989683124542,1,1,1,10,C06,2,2
