sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3
notflip__0025,notflip__0026,notflip,notflip,0025,0026,0,0.0023507203441113234,0.0034775808453559875,0.0005747079849243164,0.01221690233796835,0.011759518645703793,0.0036845983787767134,0.0029476787030213707,0.0,0.0014738393515106854,0.0,0.001694915254237288,1,1,1
notflip__0044,notflip__0048,notflip,notflip,0044,0048,0,0.001103714108467102,0.002584566595032811,0.0026285648345947266,0.016077671200037003,0.01599232293665409,0.0,0.001915991156963891,0.0011790714812085483,0.005747973470891673,0.0008843036109064112,0.0017391304347826088,1,1,1
flip__0024,flip__0033,flip,flip,0024,0033,0,0.0022273536305874586,0.005635940935462713,0.0034735798835754395,0.013957287184894085,0.015421724878251553,0.0029476787030213707,0.011201179071481208,0.002800294767870302,0.0029476787030213707,0.0007369196757553427,0.0031982313927781873,1,1,1
notflip__0046,notflip__0057,notflip,notflip,0046,0057,0,0.001480658887885511,0.006891012191772461,0.0028052330017089844,0.019733242690563202,0.018809005618095398,0.0005895357406042742,0.017686072218128224,0.0014738393515106854,0.015327929255711128,0.0020633750921149594,0.005747973470891673,1,1,1
flip__0012,flip__0022,flip,flip,0012,0022,0,0.002225331962108612,0.004392390605062246,0.003957808017730713,0.018410852178931236,0.0249662846326828,0.002800294767870302,0.006484893146647015,0.004421518054532056,0.01105379513633014,0.005600589535740604,0.00576271186440678,1,1,1
notflip__0023,notflip__0024,notflip,notflip,0023,0024,0,0.0030291725415736437,0.006824848707765341,0.005711495876312256,0.01578887365758419,0.01876750774681568,0.007369196757553427,0.01709653647752395,0.008843036109064112,0.005158437730287398,0.001915991156963891,0.006757553426676492,1,1,1
notflip__0047,notflip__0049,notflip,notflip,0047,0049,0,0.003371040103957057,0.002321583451703191,0.005225419998168945,0.020611034706234932,0.017439566552639008,0.009579955784819455,0.0014738393515106854,0.007221812822402358,0.01694915254237288,0.0011790714812085483,0.007789240972733973,1,1,1
flip__0052,flip__0056,flip,flip,0052,0056,0,0.0015785818686708808,0.007954076863825321,0.001512289047241211,0.021785225719213486,0.021988797932863235,0.0010316875460574797,0.023581429624170966,0.00014738393515106854,0.02225497420781135,0.0029476787030213707,0.007877671333824613,1,1,1
notflip__0042,notflip__0045,notflip,notflip,0042,0045,0,0.0028482924681156874,0.00355713814496994,0.01064145565032959,0.01779525727033615,0.017512191087007523,0.006337509211495947,0.0030950626381724394,0.024760501105379515,0.009432571849668387,0.0013264554163596167,0.008142962417096536,1,1,1
flip__0028,notflip__0019,flip,notflip,0028,0019,0,0.0029293522238731384,0.005134899169206619,0.0016036629676818848,0.02137862890958786,0.027601411566138268,0.006632277081798084,0.00913780397936625,0.0004421518054532056,0.01915991156963891,0.008400884303610906,0.008901989683124542,1,1,1
flip__0028,flip__0029,flip,flip,0028,0029,0,0.0035896797198802233,0.004635963588953018,0.0088576078414917,0.018023256212472916,0.019592279568314552,0.01105379513633014,0.00707442888725129,0.017833456153279293,0.009874723655121593,0.0023581429624170967,0.009263080324244657,2,1,1
notflip__0044,notflip__0049,notflip,notflip,0044,0049,0,0.0019515752792358398,0.0021706100087612867,0.007301688194274902,0.022385619580745697,0.027819275856018066,0.0020633750921149594,0.0011790714812085483,0.01296978629329403,0.02593957258658806,0.00899042004421518,0.010117907148120855,2,2,1
flip__0065,notflip__0058,flip,notflip,0065,0058,0,0.004306515213102102,0.003941623028367758,0.011682689189910889,0.0088425287976861,0.014015977270901203,0.018717759764185705,0.004421518054532056,0.027855563743551952,0.0,0.0004421518054532056,0.010346352247605013,1,1,1
notflip__0045,notflip__0047,notflip,notflip,0045,0047,0,0.0052273771725595,0.0007495172321796417,0.0024202466011047363,0.01769265905022621,0.013808485120534897,0.02800294767870302,0.0,0.0010316875460574797,0.00899042004421518,0.0002947678703021371,0.010427413411938098,2,2,1
notflip__0024,notflip__0025,notflip,notflip,0024,0025,0,0.005688654724508524,0.0036404256243258715,0.0020979642868041992,0.01411688607186079,0.013154891319572926,0.03168754605747973,0.0036845983787767134,0.0007369196757553427,0.0030950626381724394,0.00014738393515106854,0.010641120117907148,2,2,1
notflip__0044,notflip__0047,notflip,notflip,0044,0047,0,0.0025311012286692858,0.0011510848999023438,0.010979831218719482,0.022248821333050728,0.02436455897986889,0.004421518054532056,0.00014738393515106854,0.026529108327192335,0.02520265291083272,0.004568901989683125,0.011503316138540899,3,3,1
flip__0018,flip__0019,flip,flip,0018,0019,0,0.002126735867932439,0.013078664429485798,0.009285986423492432,0.017103662714362144,0.024888478219509125,0.0026529108327192335,0.06175386882829772,0.019012527634487842,0.0075165806927044955,0.005305821665438467,0.012652910832719234,1,1,1
flip__0012,flip__0013,flip,flip,0012,0013,0,0.00520161772146821,0.005093907471746206,0.006290614604949951,0.018300652503967285,0.021293701604008675,0.027413411938098747,0.00899042004421518,0.009727339719970524,0.010759027266028003,0.0026529108327192335,0.01339719970523213,2,1,1
notflip__0055,notflip__0058,notflip,notflip,0055,0058,0,0.002473011612892151,0.008711759932339191,0.0029920339584350586,0.025022799149155617,0.023005498573184013,0.004126750184229919,0.028739867354458364,0.0016212232866617538,0.04185703758290346,0.003831982313927782,0.013684598378776712,1,2,1
notflip__0047,notflip__0048,notflip,notflip,0047,0048,0,0.003206814406439662,0.003625914454460144,0.012711107730865479,0.021317830309271812,0.028436560183763504,0.008400884303610906,0.003537214443625645,0.030655858511422256,0.018570375829034636,0.010316875460574797,0.0137656595431098,4,2,0
notflip__0042,notflip__0047,notflip,notflip,0042,0047,0,0.0023790847044438124,0.004049242939800024,0.009480297565460205,0.025121597573161125,0.02170349471271038,0.00397936624907885,0.005453205600589536,0.019749447310243185,0.04229918938835667,0.002800294767870302,0.013861459100957997,2,5,0
flip__0029,notflip__0019,flip,notflip,0029,0019,0,0.0035259847063571215,0.0059973872266709805,0.011982321739196777,0.022104421630501747,0.02484697476029396,0.010759027266028003,0.012822402358142962,0.02829771554900516,0.02431834929992631,0.005158437730287398,0.014907885040530582,2,2,1
notflip__0042,notflip__0049,notflip,notflip,0042,0049,0,0.005750124808400869,0.0058142333291471004,0.003986656665802002,0.01968764327466488,0.020915033295750618,0.032571849668386145,0.01208548268238762,0.004568901989683125,0.015033161385408991,0.002505526897568165,0.015298452468680914,3,3,1
notflip__0019,notflip__0020,notflip,notflip,0019,0020,0,0.0038521464448422194,0.0032190855126827955,0.02414602041244507,0.01246390026062727,0.022092541679739952,0.012527634487840826,0.0026529108327192335,0.06985998526160649,0.0017686072218128224,0.0032424465733235075,0.015666912306558586,3,1,1
notflip__0044,notflip__0046,notflip,notflip,0044,0046,0,0.006745666265487671,0.0014599511632695794,0.0039037466049194336,0.01621447131037712,0.01499118097126484,0.046720707442888726,0.0004421518054532056,0.004126750184229919,0.006190125276344879,0.0005895357406042742,0.01606484893146647,4,2,0
notflip__0016,notflip__0019,notflip,notflip,0016,0019,0,0.004307545721530914,0.005218917038291693,0.009809553623199463,0.019186045974493027,0.030661894008517265,0.018865143699336773,0.009579955784819455,0.02092851879145173,0.012822402358142962,0.01606484893146647,0.016337509211495946,1,4,0
notflip__0046,notflip__0048,notflip,notflip,0046,0048,0,0.0062139383517205715,0.0038609355688095093,0.007746279239654541,0.017707860097289085,0.01852370612323284,0.03876197494473103,0.00397936624907885,0.015033161385408991,0.00913780397936625,0.0017686072218128224,0.016551215917464997,3,3,1
flip__0037,notflip__0029,flip,notflip,0037,0029,0,0.005209291819483042,0.010444669984281063,0.007959306240081787,0.013383492827415466,0.02581699565052986,0.027560795873249815,0.040530582166543844,0.016212232866617538,0.002210759027266028,0.006190125276344879,0.016742815033161385,1,1,1
notflip__0046,notflip__0049,notflip,notflip,0046,0049,0,0.005710959434509277,0.0027250375133007765,0.0033867955207824707,0.02204742282629013,0.027518413960933685,0.0318349299926308,0.0023581429624170967,0.002210759027266028,0.023728813559322035,0.008253500368459838,0.01692704495210022,4,4,0
notflip__0004,notflip__0005,notflip,notflip,0004,0005,0,0.0026180942077189684,0.013914396055042744,0.0062392354011535645,0.022834016010165215,0.02570287324488163,0.00501105379513633,0.06985998526160649,0.009432571849668387,0.028592483419307296,0.0058953574060427415,0.01709653647752395,1,1,1
notflip__0043,notflip__0047,notflip,notflip,0043,0047,0,0.003509625792503357,0.011533808894455433,0.0015369057655334473,0.024950601160526276,0.02668326534330845,0.010611643330876934,0.049078850405305824,0.0002947678703021371,0.04082535003684598,0.006779661016949152,0.017995578481945468,1,6,0
notflip__0042,notflip__0044,notflip,notflip,0042,0044,0,0.004447862505912781,0.004365564789623022,0.014767050743103027,0.021424228325486183,0.026937440037727356,0.01989683124539425,0.006337509211495947,0.037877671333824615,0.019749447310243185,0.007663964627855564,0.01815033161385409,4,5,0
flip__0026,flip__0027,flip,flip,0026,0027,0,0.005600377917289734,0.004038237035274506,0.014476537704467773,0.013915488496422768,0.028089012950658798,0.031098010316875462,0.005305821665438467,0.036993367722918204,0.002800294767870302,0.009579955784819455,0.01836403831982314,1,1,1
notflip__0048,notflip__0049,notflip,notflip,0048,0049,0,0.003055289387702942,0.0026863093953579664,0.012715756893157959,0.024000607430934906,0.031517792493104935,0.007663964627855564,0.002210759027266028,0.030803242446573325,0.03551952837140752,0.01812822402358143,0.018776713338246133,4,5,0
flip__0035,flip__0046,flip,flip,0035,0046,0,0.0051424577832221985,0.004465884063392878,0.018046796321868896,0.01680726557970047,0.02451498992741108,0.026381724392041266,0.006632277081798084,0.051584377302873984,0.00707442888725129,0.004716285924834193,0.018909358879882092,1,1,1
notflip__0044,notflip__0045,notflip,notflip,0044,0045,0,0.0072961547411978245,0.0012316294014453888,0.005324602127075195,0.01722526177763939,0.024291936308145523,0.05305821665438467,0.0002947678703021371,0.0075165806927044955,0.0079587324981577,0.004421518054532056,0.019771554900515843,6,3,0
flip__0036,notflip__0028,flip,notflip,0036,0028,0,0.005034342408180237,0.009012319147586823,0.019489645957946777,0.010495515540242195,0.019530033692717552,0.02535003684598379,0.030950626381724394,0.05630066322770818,0.0008843036109064112,0.002210759027266028,0.019874723655121593,1,1,1
notflip__0043,notflip__0044,notflip,notflip,0043,0044,0,0.0016968498239293694,0.011925864033401012,0.01254206895828247,0.02471880242228508,0.026729952543973923,0.0016212232866617538,0.05276344878408253,0.03021370670596905,0.03964627855563744,0.00707442888725129,0.01999263080324245,2,7,0
flip__0016,flip__0019,flip,flip,0016,0019,0,0.0026553794741630554,0.006329772528260946,0.023545026779174805,0.021352028474211693,0.029935678467154503,0.005305821665438467,0.014885777450257922,0.06868091378039794,0.019012527634487842,0.014443625644804716,0.02079587324981577,1,2,1
flip__0028,notflip__0020,flip,notflip,0028,0020,0,0.002762695075944066,0.007780235260725021,0.02564263343811035,0.01944064348936081,0.029256146401166916,0.0058953574060427415,0.02210759027266028,0.07457627118644068,0.013706705969049373,0.012822402358142962,0.02111274871039057,3,2,1
notflip__0038,notflip__0040,notflip,notflip,0038,0040,0,0.006733653601258993,0.002603524597361684,0.013576745986938477,0.015408876352012157,0.023057369515299797,0.04613117170228445,0.0020633750921149594,0.034635224760501106,0.0042741341193809875,0.004126750184229919,0.021127487103905676,1,1,1
flip__0065,notflip__0055,flip,notflip,0065,0055,0,0.0018335034837946296,0.012557771988213062,0.01200038194656372,0.025300197303295135,0.02686482109129429,0.001915991156963891,0.05836403831982314,0.028445099484156227,0.043625644804716285,0.0075165806927044955,0.021282240235814296,2,2,1
notflip__0029,notflip__0040,notflip,notflip,0029,0040,0,0.0056476891040802,0.009049073792994022,0.005021214485168457,0.022868216037750244,0.02909015491604805,0.031392778187177596,0.031392778187177596,0.006337509211495947,0.028887251289609433,0.011938098747236552,0.022269712601326454,2,2,1
flip__0035,flip__0037,flip,flip,0035,0037,0,0.0023652787785977125,0.019507458433508873,0.005265593528747559,0.022210821509361267,0.024691356346011162,0.003831982313927782,0.14163596168017686,0.007369196757553427,0.024907885040530583,0.004863669859985262,0.02261606484893147,2,2,1
flip__0031,notflip__0023,flip,notflip,0031,0023,0,0.005887525621801615,0.004053437616676092,0.01986527442932129,0.015298677608370781,0.028369126841425896,0.034635224760501106,0.005747973470891673,0.05747973470891673,0.004126750184229919,0.01002210759027266,0.022918201915991157,1,2,1
flip__0020,flip__0021,flip,flip,0020,0021,0,0.004634737968444824,0.0110722491517663,0.008687317371368408,0.022134823724627495,0.03223882243037224,0.021812822402358142,0.04509948415622697,0.017391304347826087,0.024613117170228446,0.019454679439941048,0.023448784082535007,1,1,1
notflip__0029,notflip__0038,notflip,notflip,0029,0038,0,0.001223591505549848,0.007881266064941883,0.007911145687103271,0.026983587071299553,0.035942528396844864,0.0002947678703021371,0.02328666175386883,0.015770081061164332,0.05615327929255711,0.03021370670596905,0.023566691230655856,3,2,1
flip__0043,flip__0046,flip,flip,0043,0046,0,0.006560427602380514,0.007118834648281336,0.007262766361236572,0.022655416280031204,0.026418715715408325,0.04377302873986735,0.018570375829034636,0.012822402358142962,0.027413411938098747,0.006484893146647015,0.024016212232866617,1,2,1
flip__0045,flip__0046,flip,flip,0045,0046,0,0.00802538264542818,0.004594825208187103,0.008768916130065918,0.012418300844728947,0.01785973645746708,0.06691230655858511,0.006927044952100221,0.017686072218128224,0.0016212232866617538,0.0016212232866617538,0.024148857774502576,1,3,1
notflip__0024,notflip__0026,notflip,notflip,0024,0026,0,0.008039374835789204,0.006208141800016165,0.0021777749061584473,0.018125856295228004,0.017589997500181198,0.06764922623434046,0.01400147383935151,0.0008843036109064112,0.010611643330876934,0.0014738393515106854,0.02431834929992631,3,2,1
flip__0035,flip__0043,flip,flip,0035,0043,0,0.006913905497640371,0.006871074438095093,0.007092893123626709,0.02130642719566822,0.028286129236221313,0.04937361827560796,0.017391304347826087,0.011938098747236552,0.018422991893883568,0.009874723655121593,0.024495210022107586,3,2,1
flip__0028,notflip__0016,flip,notflip,0028,0016,0,0.006162608508020639,0.008198817260563374,0.007315099239349365,0.01987004093825817,0.033779438585042953,0.03817243920412675,0.024760501105379515,0.013117170228445099,0.015622697126013265,0.023876197494473103,0.024988946204863673,4,2,0
notflip__0045,notflip__0049,notflip,notflip,0045,0049,0,0.008598417043685913,0.0022570949513465166,0.005452871322631836,0.01559507567435503,0.01657848246395588,0.07560795873249816,0.0013264554163596167,0.008253500368459838,0.004568901989683125,0.0010316875460574797,0.02522476050110538,4,6,0
notflip__0043,notflip__0048,notflip,notflip,0043,0048,0,0.0015726586570963264,0.013336487114429474,0.01260465383529663,0.02675938792526722,0.03003423660993576,0.0008843036109064112,0.06396462785556374,0.03036109064112012,0.05408990420044215,0.014738393515106854,0.02571849668386146,3,5,0
flip__0024,flip__0032,flip,flip,0024,0032,0,0.0061406767927110195,0.007989384233951569,0.005617380142211914,0.02348381280899048,0.031704533845186234,0.037877671333824615,0.023876197494473103,0.008400884303610906,0.03212969786293294,0.018422991893883568,0.02604274134119381,2,1,1
notflip__0043,notflip__0050,notflip,notflip,0043,0050,0,0.0022734005469828844,0.00744295259937644,0.009527266025543213,0.02981076017022133,0.0317460335791111,0.0032424465733235075,0.020338983050847456,0.02004421518054532,0.0823876197494473,0.018717759764185705,0.027170228445099483,4,1,0
notflip__0043,notflip__0046,notflip,notflip,0043,0046,0,0.006686116103082895,0.011456035077571869,0.007042407989501953,0.023012615740299225,0.02304699644446373,0.045836403831982314,0.04848931466470155,0.011643330876934414,0.029624170965364776,0.00397936624907885,0.027266028002947678,5,5,0
flip__0003,flip__0005,flip,flip,0003,0005,0,0.001166095375083387,0.015884017571806908,0.00793755054473877,0.025543395429849625,0.035029567778110504,0.00014738393515106854,0.09064112011790715,0.0159174649963154,0.045689019896831246,0.02711864406779661,0.02741341193809875,1,1,1
notflip__0045,notflip__0048,notflip,notflip,0045,0048,0,0.007827882654964924,0.003592509776353836,0.006943762302398682,0.021226631477475166,0.029411764815449715,0.06293294030950626,0.0032424465733235075,0.010759027266028003,0.0182756079587325,0.013264554163596167,0.027789240972733966,5,6,0
flip__0040,flip__0046,flip,flip,0040,0046,0,0.0040595680475234985,0.017394015565514565,0.011613965034484863,0.021686425432562828,0.030438842251896858,0.015327929255711128,0.11127487103905674,0.027413411938098747,0.021223286661753868,0.015327929255711128,0.02791451731761238,1,4,0
flip__0023,flip__0026,flip,flip,0023,0026,0,0.003942278679460287,0.01666806824505329,0.016715407371520996,0.016586868092417717,0.03270048648118973,0.01400147383935151,0.10243183492999262,0.046720707442888726,0.006632277081798084,0.021223286661753868,0.028084008843036107,1,2,1
flip__0037,notflip__0038,flip,notflip,0037,0038,0,0.004123327787965536,0.013886489905416965,0.015578210353851318,0.02499999850988388,0.027212364599108696,0.016801768607221813,0.06971260132645542,0.04112011790714812,0.04126750184229919,0.007811348563006633,0.0283861459100958,3,3,1
notflip__0046,notflip__0047,notflip,notflip,0046,0047,0,0.008814443834125996,0.0017769882688298821,0.0066561102867126465,0.01807265542447567,0.02216516248881817,0.07973470891672807,0.0007369196757553427,0.010611643330876934,0.01002210759027266,0.003389830508474576,0.028437730287398672,6,7,0
