path,sequence_id,split,label,nearest_other_sequence_path,nearest_other_sequence_id,nearest_other_sequence_split,nearest_other_sequence_label,dhash_distance,phash_distance,combined_distance
testing/flip/0001_000000020.jpg,flip__0001,testing,flip,training/flip/0004_000000023.jpg,flip__0004,training,flip,4,8,12
testing/flip/0002_000000012.jpg,flip__0002,testing,flip,training/flip/0010_000000010.jpg,flip__0010,training,flip,5,14,19
testing/flip/0002_000000013.jpg,flip__0002,testing,flip,training/flip/0010_000000011.jpg,flip__0010,training,flip,6,12,18
testing/flip/0002_000000015.jpg,flip__0002,testing,flip,training/flip/0010_000000014.jpg,flip__0010,training,flip,6,12,18
testing/flip/0002_000000017.jpg,flip__0002,testing,flip,training/flip/0010_000000020.jpg,flip__0010,training,flip,9,4,13
testing/flip/0003_000000005.jpg,flip__0003,testing,flip,testing/flip/0004_000000006.jpg,flip__0004,testing,flip,8,4,12
testing/flip/0003_000000008.jpg,flip__0003,testing,flip,testing/notflip/0004_000000029.jpg,notflip__0004,testing,notflip,5,6,11
testing/flip/0003_000000022.jpg,flip__0003,testing,flip,testing/notflip/0004_000000012.jpg,notflip__0004,testing,notflip,8,8,16
testing/flip/0003_000000025.jpg,flip__0003,testing,flip,training/flip/0004_000000028.jpg,flip__0004,training,flip,6,6,12
testing/flip/0004_000000006.jpg,flip__0004,testing,flip,training/flip/0007_000000012.jpg,flip__0007,training,flip,5,2,7
testing/flip/0004_000000013.jpg,flip__0004,testing,flip,training/flip/0007_000000012.jpg,flip__0007,training,flip,7,2,9
testing/flip/0004_000000014.jpg,flip__0004,testing,flip,training/flip/0007_000000014.jpg,flip__0007,training,flip,4,4,8
testing/flip/0004_000000027.jpg,flip__0004,testing,flip,testing/flip/0003_000000025.jpg,flip__0003,testing,flip,7,8,15
testing/flip/0005_000000003.jpg,flip__0005,testing,flip,training/flip/0008_000000002.jpg,flip__0008,training,flip,7,4,11
testing/flip/0005_000000008.jpg,flip__0005,testing,flip,training/flip/0008_000000002.jpg,flip__0008,training,flip,6,6,12
testing/flip/0005_000000018.jpg,flip__0005,testing,flip,training/flip/0007_000000019.jpg,flip__0007,training,flip,2,6,8
testing/flip/0005_000000023.jpg,flip__0005,testing,flip,training/flip/0007_000000023.jpg,flip__0007,training,flip,5,10,15
testing/flip/0005_000000028.jpg,flip__0005,testing,flip,training/notflip/0007_000000004.jpg,notflip__0007,training,notflip,13,8,21
testing/flip/0006_000000001.jpg,flip__0006,testing,flip,training/notflip/0007_000000028.jpg,notflip__0007,training,notflip,4,2,6
testing/flip/0006_000000006.jpg,flip__0006,testing,flip,training/notflip/0007_000000028.jpg,notflip__0007,training,notflip,5,4,9
testing/flip/0006_000000008.jpg,flip__0006,testing,flip,training/notflip/0007_000000013.jpg,notflip__0007,training,notflip,4,6,10
testing/flip/0006_000000012.jpg,flip__0006,testing,flip,training/notflip/0007_000000001.jpg,notflip__0007,training,notflip,7,8,15
testing/flip/0006_000000021.jpg,flip__0006,testing,flip,training/flip/0005_000000021.jpg,flip__0005,training,flip,6,12,18
testing/flip/0006_000000022.jpg,flip__0006,testing,flip,training/flip/0007_000000021.jpg,flip__0007,training,flip,9,10,19
testing/flip/0006_000000024.jpg,flip__0006,testing,flip,testing/flip/0001_000000020.jpg,flip__0001,testing,flip,7,12,19
testing/flip/0006_000000025.jpg,flip__0006,testing,flip,training/flip/0009_000000022.jpg,flip__0009,training,flip,9,8,17
testing/flip/0006_000000030.jpg,flip__0006,testing,flip,training/flip/0001_000000024.jpg,flip__0001,training,flip,8,2,10
testing/flip/0007_000000008.jpg,flip__0007,testing,flip,testing/flip/0004_000000006.jpg,flip__0004,testing,flip,6,4,10
testing/flip/0007_000000018.jpg,flip__0007,testing,flip,training/flip/0005_000000015.jpg,flip__0005,training,flip,4,6,10
