video_id,notflip_frames,flip_frames,within_sequence_median_adjacent_mae,notflip_to_flip_boundary_mae,notflip_to_flip_boundary_ratio_vs_within,notflip_to_flip_cross_id_percentile_mae,notflip_to_flip_boundary_dhash,notflip_to_flip_cross_id_percentile_dhash,notflip_to_flip_composite_percentile,flip_to_notflip_boundary_mae,flip_to_notflip_boundary_ratio_vs_within,flip_to_notflip_cross_id_percentile_mae,flip_to_notflip_boundary_dhash,flip_to_notflip_cross_id_percentile_dhash,flip_to_notflip_composite_percentile,preferred_direction_by_composite,direction_margin
0001,30,16,0.0101184326922521,0.05904054269194603,5.834949392622302,0.015625,10.0,0.046875,0.03125,0.10445772111415863,10.323508026509298,0.058823529411764705,23.0,0.47058823529411764,0.2647058823529412,notflip->flip,0.23345588235294118
0002,30,13,0.014118987717665732,0.05517003685235977,3.9075065405242055,0.0,10.0,0.03125,0.015625,0.12071111053228378,8.549558434791297,0.13725490196078433,20.0,0.45098039215686275,0.29411764705882354,notflip->flip,0.27849264705882354
0003,30,26,0.00997003330849111,0.10034690052270889,10.064851081013654,0.046875,18.0,0.109375,0.078125,0.10931883752346039,10.964741454811143,0.09803921568627451,19.0,0.13725490196078433,0.11764705882352941,notflip->flip,0.03952205882352941
0004,35,24,0.009031527675688267,0.06070931628346443,6.721932154056977,0.03125,14.0,0.03125,0.03125,0.13410437107086182,14.848470368070052,0.09803921568627451,9.0,0.0784313725490196,0.08823529411764705,notflip->flip,0.05698529411764705
0005,30,30,0.010485121514648199,0.05379391834139824,5.130500229896778,0.03125,10.0,0.03125,0.03125,0.12728023529052734,12.139128298390341,0.0392156862745098,16.0,0.13725490196078433,0.08823529411764706,notflip->flip,0.056985294117647065
0006,30,30,0.010028914432041347,0.0908806324005127,9.061861382539913,0.0625,13.0,0.03125,0.046875,0.06361889839172363,6.343547830906585,0.0,4.0,0.0,0.0,flip->notflip,0.046875
0007,30,26,0.008774223271757364,0.12978771328926086,14.7919319202902,0.078125,18.0,0.078125,0.078125,0.13842806220054626,15.776674232364376,0.23529411764705882,11.0,0.058823529411764705,0.14705882352941177,notflip->flip,0.06893382352941177
0008,30,29,0.010202684672549367,0.057913027703762054,5.67625380597901,0.03125,9.0,0.03125,0.03125,0.10656914114952087,10.445205803159672,0.09803921568627451,14.0,0.058823529411764705,0.0784313725490196,notflip->flip,0.04718137254901961
0009,30,28,0.011347273364663124,0.077881820499897,6.863483234873944,0.03125,11.0,0.03125,0.03125,0.11049102991819382,9.737231700284683,0.0784313725490196,17.0,0.11764705882352941,0.09803921568627451,notflip->flip,0.06678921568627451
0010,30,27,0.012291762512177229,0.10744932293891907,8.741571669032082,0.125,15.0,0.078125,0.1015625,0.12448076158761978,10.127169432723656,0.17647058823529413,15.0,0.0392156862745098,0.10784313725490197,notflip->flip,0.006280637254901966
0011,30,26,0.011364028789103031,0.17673197388648987,15.551876642195609,0.671875,24.0,0.3125,0.4921875,0.1676802635192871,14.755353636562038,0.5686274509803921,20.0,0.19607843137254902,0.38235294117647056,flip->notflip,0.10983455882352944
0015,30,30,0.010383157059550285,0.07735875248908997,7.450407621248149,0.109375,22.0,0.140625,0.125,0.068357452750206,6.583494052739167,0.0,12.0,0.0,0.0,flip->notflip,0.125
0016,25,29,0.00855784717714414,0.10426975041627884,12.184109888612776,0.3125,29.0,0.84375,0.578125,0.14784710109233856,17.27620253458148,0.23529411764705882,32.0,0.8431372549019608,0.5392156862745098,flip->notflip,0.038909313725490224
0019,30,19,0.008874272753018886,0.10543780028820038,11.881289117728787,0.328125,32.0,0.96875,0.6484375,0.12867136299610138,14.499369872571185,0.1568627450980392,34.0,0.9215686274509803,0.5392156862745098,flip->notflip,0.10922181372549022
0020,21,20,0.007615751877892762,0.09382499754428864,12.319860080610912,0.234375,29.0,0.828125,0.53125,0.11745461821556091,15.422589929237555,0.058823529411764705,24.0,0.3137254901960784,0.18627450980392157,flip->notflip,0.3449754901960784
