label,video_id,in_training,in_testing,present_in_both_splits,training_frame_count,testing_frame_count,combined_frame_count,training_min_frame,training_max_frame,testing_min_frame,testing_max_frame,exact_frame_number_overlap_count,split_membership_transitions_by_frame_order,adjacent_cross_split_frame_pairs
flip,0001,True,True,True,15,1,16,10,25,20,20,0,2,2
flip,0002,True,True,True,9,4,13,9,21,12,17,0,6,6
flip,0003,True,True,True,22,4,26,1,26,5,25,0,8,8
flip,0004,True,True,True,20,4,24,5,28,6,27,0,6,6
flip,0005,True,True,True,25,5,30,1,30,3,28,0,10,10
flip,0006,True,True,True,21,9,30,2,29,1,30,0,12,12
flip,0007,True,True,True,23,3,26,5,30,8,24,0,6,6
flip,0008,True,True,True,24,5,29,1,28,5,29,0,9,9
flip,0009,True,True,True,21,7,28,1,28,7,26,0,10,10
flip,0010,True,True,True,21,6,27,5,30,4,21,0,7,7
flip,0011,True,True,True,21,5,26,5,30,6,27,0,8,8
flip,0012,True,True,True,17,7,24,9,28,7,30,0,8,8
flip,0013,True,True,True,22,5,27,4,30,8,22,0,10,10
flip,0014,True,True,True,12,11,23,1,23,3,20,0,12,12
flip,0015,True,True,True,25,5,30,1,30,11,29,0,10,10
flip,0016,True,True,True,24,5,29,2,30,4,26,0,10,10
flip,0017,True,True,True,17,2,19,4,22,15,17,0,4,4
flip,0018,True,True,True,21,5,26,1,26,3,20,0,6,6
flip,0019,True,True,True,17,2,19,12,30,14,25,0,4,4
flip,0020,True,True,True,14,6,20,4,22,10,23,0,9,9
flip,0021,True,True,True,17,4,21,10,30,11,27,0,6,6
flip,0022,True,True,True,16,2,18,7,24,10,20,0,4,4
flip,0023,True,False,False,14,0,14,3,25,,,0,0,0
flip,0024,True,True,True,9,3,12,16,27,17,21,0,6,6
flip,0025,True,False,False,11,0,11,4,14,,,0,0,0
flip,0026,True,True,True,12,3,15,8,22,10,18,0,6,6
flip,0027,True,True,True,7,3,10,11,20,16,19,0,4,4
flip,0028,True,True,True,25,3,28,1,28,15,24,0,6,6
flip,0029,True,True,True,16,4,20,1,28,21,27,0,6,6
flip,0030,True,True,True,30,8,38,1,37,3,38,0,15,15
flip,0031,True,True,True,12,3,15,14,27,18,28,0,5,5
flip,0032,True,True,True,8,1,9,11,18,10,10,0,1,1
flip,0033,True,True,True,9,2,11,17,26,16,21,0,3,3
flip,0034,True,True,True,8,5,13,17,27,15,22,0,5,5
flip,0035,True,True,True,13,3,16,8,22,7,16,0,5,5
flip,0036,True,True,True,14,7,21,10,27,7,24,0,7,7
flip,0037,True,True,True,18,8,26,2,27,6,24,0,14,14
flip,0038,True,True,True,34,12,46,4,49,7,48,0,18,18
flip,0039,True,True,True,20,1,21,8,28,9,9,0,2,2
flip,0040,True,True,True,21,4,25,6,30,7,28,0,6,6
flip,0041,True,True,True,13,7,20,11,29,10,27,0,9,9
flip,0042,True,True,True,24,6,30,1,30,2,27,0,10,10
flip,0043,True,True,True,8,2,10,16,24,15,23,0,3,3
flip,0044,True,True,True,22,5,27,4,29,3,25,0,7,7
flip,0045,True,True,True,23,1,24,7,30,27,27,0,2,2
flip,0046,True,True,True,13,9,22,7,27,6,25,0,13,13
flip,0047,True,True,True,21,4,25,6,30,10,26,0,8,8
flip,0048,True,True,True,20,2,22,9,30,10,11,0,2,2
flip,0049,True,True,True,9,5,14,18,30,17,27,0,9,9
flip,0050,True,True,True,12,2,14,17,30,23,24,0,2,2
flip,0051,True,True,True,14,2,16,12,27,21,22,0,2,2
flip,0052,True,True,True,14,3,17,13,29,17,21,0,4,4
flip,0053,True,True,True,26,4,30,1,30,8,18,0,8,8
flip,0054,True,True,True,16,6,22,8,29,10,27,0,10,10
flip,0055,True,True,True,16,4,20,11,30,15,28,0,6,6
flip,0056,True,True,True,15,2,17,14,29,16,30,0,3,3
flip,0057,True,True,True,18,2,20,11,29,19,30,0,3,3
flip,0058,True,True,True,23,6,29,1,29,3,27,0,10,10
flip,0059,True,True,True,25,5,30,1,30,15,28,0,6,6
flip,0060,True,True,True,43,12,55,1,54,4,55,0,17,17
flip,0061,True,True,True,16,6,22,9,30,10,29,0,8,8
flip,0062,True,True,True,22,8,30,1,30,3,20,0,12,12
flip,0063,True,True,True,11,3,14,10,22,11,23,0,5,5
flip,0064,True,True,True,10,1,11,19,29,27,27,0,2,2
flip,0065,True,True,True,23,6,29,2,29,1,26,0,9,9
notflip,0001,True,True,True,25,5,30,1,30,2,24,0,10,10
notflip,0002,True,True,True,22,8,30,1,30,3,28,0,12,12
notflip,0003,True,True,True,26,4,30,1,29,4,30,0,7,7
notflip,0004,True,True,True,26,9,35,1,35,2,29,0,16,16
notflip,0005,True,True,True,25,5,30,1,30,5,22,0,10,10
notflip,0006,True,True,True,20,10,30,1,30,9,29,0,14,14
notflip,0007,True,True,True,28,2,30,1,30,10,25,0,4,4
notflip,0008,True,True,True,24,6,30,1,30,8,23,0,8,8
notflip,0009,True,True,True,22,8,30,1,30,2,27,0,10,10
notflip,0010,True,True,True,27,3,30,1,30,7,26,0,6,6
notflip,0011,True,True,True,27,3,30,1,30,17,27,0,4,4
notflip,0015,True,True,True,24,6,30,1,30,2,21,0,6,6
notflip,0016,True,True,True,20,5,25,2,24,1,25,0,8,8
notflip,0019,True,True,True,23,7,30,1,30,2,27,0,12,12
notflip,0020,True,True,True,17,4,21,1,21,4,19,0,8,8
notflip,0021,True,True,True,6,2,8,7,27,24,26,0,4,4
notflip,0023,True,True,True,25,5,30,1,28,14,30,0,7,7
notflip,0024,True,True,True,21,9,30,1,30,2,25,0,12,12
notflip,0025,True,True,True,23,7,30,1,30,10,25,0,10,10
notflip,0026,True,True,True,24,6,30,1,30,4,29,0,10,10
notflip,0027,True,True,True,23,7,30,2,30,1,23,0,11,11
notflip,0028,True,True,True,28,2,30,1,30,4,24,0,4,4
notflip,0029,True,True,True,21,9,30,2,30,1,25,0,9,9
notflip,0030,True,True,True,22,8,30,2,30,1,28,0,11,11
notflip,0031,True,True,True,22,8,30,1,30,4,20,0,10,10
notflip,0032,True,True,True,24,6,30,1,30,3,29,0,10,10
notflip,0033,True,True,True,22,8,30,1,30,2,27,0,14,14
notflip,0034,True,True,True,26,4,30,1,29,8,30,0,7,7
notflip,0035,True,True,True,27,5,32,1,32,9,26,0,8,8
notflip,0036,True,True,True,22,8,30,2,29,1,30,0,12,12
notflip,0037,True,True,True,19,11,30,1,30,2,28,0,16,16
notflip,0038,True,True,True,22,8,30,1,30,5,23,0,8,8
notflip,0039,True,True,True,27,3,30,1,30,3,26,0,6,6
notflip,0040,True,True,True,20,10,30,1,30,4,18,0,8,8
notflip,0041,True,True,True,26,11,37,2,37,1,36,0,17,17
notflip,0042,True,True,True,22,8,30,2,29,1,30,0,12,12
notflip,0043,True,True,True,27,3,30,1,30,23,26,0,4,4
notflip,0044,True,True,True,27,3,30,1,30,6,27,0,6,6
notflip,0045,True,True,True,21,9,30,1,29,5,30,0,15,15
notflip,0046,True,True,True,25,5,30,1,30,3,28,0,6,6
notflip,0047,True,True,True,25,5,30,1,30,6,29,0,8,8
notflip,0048,True,True,True,26,4,30,1,29,15,30,0,5,5
notflip,0049,True,True,True,23,7,30,1,30,6,28,0,12,12
notflip,0050,True,True,True,27,2,29,1,29,11,13,0,4,4
notflip,0051,True,True,True,27,3,30,1,30,2,25,0,6,6
notflip,0052,True,True,True,26,4,30,1,30,6,29,0,8,8
notflip,0053,True,True,True,24,6,30,2,30,1,25,0,9,9
notflip,0054,True,True,True,26,4,30,1,30,10,27,0,8,8
notflip,0055,True,True,True,27,3,30,1,30,12,16,0,4,4
notflip,0056,True,True,True,23,7,30,1,30,4,27,0,14,14
notflip,0057,True,True,True,25,5,30,1,30,3,27,0,10,10
notflip,0058,True,True,True,23,7,30,1,30,2,25,0,12,12
