split,label,video_id,frame_count,unique_frame_count,min_frame,max_frame,span,missing_frame_count_inside_span
testing,flip,0001,1,1,20,20,1,0
testing,flip,0002,4,4,12,17,6,2
testing,flip,0003,4,4,5,25,21,17
testing,flip,0004,4,4,6,27,22,18
testing,flip,0005,5,5,3,28,26,21
testing,flip,0006,9,9,1,30,30,21
testing,flip,0007,3,3,8,24,17,14
testing,flip,0008,5,5,5,29,25,20
testing,flip,0009,7,7,7,26,20,13
testing,flip,0010,6,6,4,21,18,12
testing,flip,0011,5,5,6,27,22,17
testing,flip,0012,7,7,7,30,24,17
testing,flip,0013,5,5,8,22,15,10
testing,flip,0014,11,11,3,20,18,7
testing,flip,0015,5,5,11,29,19,14
testing,flip,0016,5,5,4,26,23,18
testing,flip,0017,2,2,15,17,3,1
testing,flip,0018,5,5,3,20,18,13
testing,flip,0019,2,2,14,25,12,10
testing,flip,0020,6,6,10,23,14,8
testing,flip,0021,4,4,11,27,17,13
testing,flip,0022,2,2,10,20,11,9
testing,flip,0024,3,3,17,21,5,2
testing,flip,0026,3,3,10,18,9,6
testing,flip,0027,3,3,16,19,4,1
testing,flip,0028,3,3,15,24,10,7
testing,flip,0029,4,4,21,27,7,3
testing,flip,0030,8,8,3,38,36,28
testing,flip,0031,3,3,18,28,11,8
testing,flip,0032,1,1,10,10,1,0
testing,flip,0033,2,2,16,21,6,4
testing,flip,0034,5,5,15,22,8,3
testing,flip,0035,3,3,7,16,10,7
testing,flip,0036,7,7,7,24,18,11
testing,flip,0037,8,8,6,24,19,11
testing,flip,0038,12,12,7,48,42,30
testing,flip,0039,1,1,9,9,1,0
testing,flip,0040,4,4,7,28,22,18
testing,flip,0041,7,7,10,27,18,11
testing,flip,0042,6,6,2,27,26,20
testing,flip,0043,2,2,15,23,9,7
testing,flip,0044,5,5,3,25,23,18
testing,flip,0045,1,1,27,27,1,0
testing,flip,0046,9,9,6,25,20,11
testing,flip,0047,4,4,10,26,17,13
testing,flip,0048,2,2,10,11,2,0
testing,flip,0049,5,5,17,27,11,6
testing,flip,0050,2,2,23,24,2,0
testing,flip,0051,2,2,21,22,2,0
testing,flip,0052,3,3,17,21,5,2
testing,flip,0053,4,4,8,18,11,7
testing,flip,0054,6,6,10,27,18,12
testing,flip,0055,4,4,15,28,14,10
testing,flip,0056,2,2,16,30,15,13
testing,flip,0057,2,2,19,30,12,10
testing,flip,0058,6,6,3,27,25,19
testing,flip,0059,5,5,15,28,14,9
testing,flip,0060,12,12,4,55,52,40
testing,flip,0061,6,6,10,29,20,14
testing,flip,0062,8,8,3,20,18,10
testing,flip,0063,3,3,11,23,13,10
testing,flip,0064,1,1,27,27,1,0
testing,flip,0065,6,6,1,26,26,20
testing,notflip,0001,5,5,2,24,23,18
testing,notflip,0002,8,8,3,28,26,18
testing,notflip,0003,4,4,4,30,27,23
testing,notflip,0004,9,9,2,29,28,19
testing,notflip,0005,5,5,5,22,18,13
testing,notflip,0006,10,10,9,29,21,11
testing,notflip,0007,2,2,10,25,16,14
testing,notflip,0008,6,6,8,23,16,10
testing,notflip,0009,8,8,2,27,26,18
testing,notflip,0010,3,3,7,26,20,17
testing,notflip,0011,3,3,17,27,11,8
testing,notflip,0015,6,6,2,21,20,14
testing,notflip,0016,5,5,1,25,25,20
testing,notflip,0019,7,7,2,27,26,19
testing,notflip,0020,4,4,4,19,16,12
testing,notflip,0021,2,2,24,26,3,1
testing,notflip,0023,5,5,14,30,17,12
testing,notflip,0024,9,9,2,25,24,15
testing,notflip,0025,7,7,10,25,16,9
testing,notflip,0026,6,6,4,29,26,20
testing,notflip,0027,7,7,1,23,23,16
testing,notflip,0028,2,2,4,24,21,19
testing,notflip,0029,9,9,1,25,25,16
testing,notflip,0030,8,8,1,28,28,20
testing,notflip,0031,8,8,4,20,17,9
testing,notflip,0032,6,6,3,29,27,21
testing,notflip,0033,8,8,2,27,26,18
testing,notflip,0034,4,4,8,30,23,19
testing,notflip,0035,5,5,9,26,18,13
testing,notflip,0036,8,8,1,30,30,22
testing,notflip,0037,11,11,2,28,27,16
testing,notflip,0038,8,8,5,23,19,11
testing,notflip,0039,3,3,3,26,24,21
testing,notflip,0040,10,10,4,18,15,5
testing,notflip,0041,11,11,1,36,36,25
testing,notflip,0042,8,8,1,30,30,22
testing,notflip,0043,3,3,23,26,4,1
testing,notflip,0044,3,3,6,27,22,19
testing,notflip,0045,9,9,5,30,26,17
testing,notflip,0046,5,5,3,28,26,21
testing,notflip,0047,5,5,6,29,24,19
testing,notflip,0048,4,4,15,30,16,12
testing,notflip,0049,7,7,6,28,23,16
testing,notflip,0050,2,2,11,13,3,1
testing,notflip,0051,3,3,2,25,24,21
testing,notflip,0052,4,4,6,29,24,20
testing,notflip,0053,6,6,1,25,25,19
testing,notflip,0054,4,4,10,27,18,14
testing,notflip,0055,3,3,12,16,5,2
testing,notflip,0056,7,7,4,27,24,17
testing,notflip,0057,5,5,3,27,25,20
testing,notflip,0058,7,7,2,25,24,17
training,flip,0001,15,15,10,25,16,1
training,flip,0002,9,9,9,21,13,4
training,flip,0003,22,22,1,26,26,4
training,flip,0004,20,20,5,28,24,4
training,flip,0005,25,25,1,30,30,5
training,flip,0006,21,21,2,29,28,7
training,flip,0007,23,23,5,30,26,3
training,flip,0008,24,24,1,28,28,4
training,flip,0009,21,21,1,28,28,7
training,flip,0010,21,21,5,30,26,5
training,flip,0011,21,21,5,30,26,5
training,flip,0012,17,17,9,28,20,3
training,flip,0013,22,22,4,30,27,5
training,flip,0014,12,12,1,23,23,11
training,flip,0015,25,25,1,30,30,5
training,flip,0016,24,24,2,30,29,5
training,flip,0017,17,17,4,22,19,2
training,flip,0018,21,21,1,26,26,5
training,flip,0019,17,17,12,30,19,2
training,flip,0020,14,14,4,22,19,5
training,flip,0021,17,17,10,30,21,4
training,flip,0022,16,16,7,24,18,2
