video_id,label,position,split,frame_num,path
0001,notflip,early,training,1,training/notflip/0001_000000001.jpg
0001,notflip,late,training,30,training/notflip/0001_000000030.jpg
0001,flip,early,training,10,training/flip/0001_000000010.jpg
0001,flip,late,training,25,training/flip/0001_000000025.jpg
0002,notflip,early,training,1,training/notflip/0002_000000001.jpg
0002,notflip,late,training,30,training/notflip/0002_000000030.jpg
0002,flip,early,training,9,training/flip/0002_000000009.jpg
0002,flip,late,training,21,training/flip/0002_000000021.jpg
0005,notflip,early,training,1,training/notflip/0005_000000001.jpg
0005,notflip,late,training,30,training/notflip/0005_000000030.jpg
0005,flip,early,training,1,training/flip/0005_000000001.jpg
0005,flip,late,training,30,training/flip/0005_000000030.jpg
0035,notflip,early,training,1,training/notflip/0035_000000001.jpg
0035,notflip,late,training,32,training/notflip/0035_000000032.jpg
0035,flip,early,testing,7,testing/flip/0035_000000007.jpg
0035,flip,late,training,22,training/flip/0035_000000022.jpg
0041,notflip,early,testing,1,testing/notflip/0041_000000001.jpg
0041,notflip,late,training,37,training/notflip/0041_000000037.jpg
0041,flip,early,testing,10,testing/flip/0041_000000010.jpg
0041,flip,late,training,29,training/flip/0041_000000029.jpg
