source_group_id,label,target,video_id,frame_count,partition
flip__0001,flip,1,0001,16,validation
flip__0002,flip,1,0002,13,train
flip__0003,flip,1,0003,26,train
flip__0004,flip,1,0004,24,validation
flip__0005,flip,1,0005,30,train
flip__0006,flip,1,0006,30,validation
flip__0007,flip,1,0007,26,test
flip__0008,flip,1,0008,29,validation
flip__0009,flip,1,0009,28,train
flip__0010,flip,1,0010,27,train
flip__0011,flip,1,0011,26,train
flip__0012,flip,1,0012,24,validation
flip__0013,flip,1,0013,27,test
flip__0014,flip,1,0014,23,train
flip__0015,flip,1,0015,30,train
flip__0016,flip,1,0016,29,validation
flip__0017,flip,1,0017,19,train
flip__0018,flip,1,0018,26,train
flip__0019,flip,1,0019,19,train
flip__0020,flip,1,0020,20,validation
flip__0021,flip,1,0021,21,train
flip__0022,flip,1,0022,18,train
flip__0023,flip,1,0023,14,train
flip__0024,flip,1,0024,12,test
flip__0025,flip,1,0025,11,train
flip__0026,flip,1,0026,15,train
flip__0027,flip,1,0027,10,validation
flip__0028,flip,1,0028,28,train
flip__0029,flip,1,0029,20,train
flip__0030,flip,1,0030,38,train
flip__0031,flip,1,0031,15,test
flip__0032,flip,1,0032,9,train
flip__0033,flip,1,0033,11,test
flip__0034,flip,1,0034,13,validation
flip__0035,flip,1,0035,16,test
flip__0036,flip,1,0036,21,train
flip__0037,flip,1,0037,26,train
flip__0038,flip,1,0038,46,test
flip__0039,flip,1,0039,21,train
flip__0040,flip,1,0040,25,train
flip__0041,flip,1,0041,20,test
flip__0042,flip,1,0042,30,test
flip__0043,flip,1,0043,10,train
flip__0044,flip,1,0044,27,train
flip__0045,flip,1,0045,24,test
flip__0046,flip,1,0046,22,train
flip__0047,flip,1,0047,25,test
flip__0048,flip,1,0048,22,train
flip__0049,flip,1,0049,14,train
flip__0050,flip,1,0050,14,train
flip__0051,flip,1,0051,16,test
flip__0052,flip,1,0052,17,train
flip__0053,flip,1,0053,30,train
flip__0054,flip,1,0054,22,validation
flip__0055,flip,1,0055,20,train
flip__0056,flip,1,0056,17,train
flip__0057,flip,1,0057,20,train
flip__0058,flip,1,0058,29,train
flip__0059,flip,1,0059,30,train
flip__0060,flip,1,0060,55,train
flip__0061,flip,1,0061,22,test
flip__0062,flip,1,0062,30,validation
flip__0063,flip,1,0063,14,validation
flip__0064,flip,1,0064,11,train
flip__0065,flip,1,0065,29,validation
notflip__0001,notflip,0,0001,30,train
notflip__0002,notflip,0,0002,30,train
notflip__0003,notflip,0,0003,30,train
notflip__0004,notflip,0,0004,35,train
notflip__0005,notflip,0,0005,30,train
notflip__0006,notflip,0,0006,30,validation
notflip__0007,notflip,0,0007,30,train
notflip__0008,notflip,0,0008,30,train
notflip__0009,notflip,0,0009,30,train
notflip__0010,notflip,0,0010,30,train
notflip__0011,notflip,0,0011,30,train
notflip__0015,notflip,0,0015,30,train
notflip__0016,notflip,0,0016,25,train
notflip__0019,notflip,0,0019,30,train
notflip__0020,notflip,0,0020,21,train
notflip__0021,notflip,0,0021,8,test
notflip__0023,notflip,0,0023,30,train
notflip__0024,notflip,0,0024,30,train
notflip__0025,notflip,0,0025,30,train
notflip__0026,notflip,0,0026,30,test
notflip__0027,notflip,0,0027,30,train
notflip__0028,notflip,0,0028,30,validation
notflip__0029,notflip,0,0029,30,train
notflip__0030,notflip,0,0030,30,train
notflip__0031,notflip,0,0031,30,validation
notflip__0032,notflip,0,0032,30,validation
notflip__0033,notflip,0,0033,30,validation
notflip__0034,notflip,0,0034,30,train
notflip__0035,notflip,0,0035,32,train
notflip__0036,notflip,0,0036,30,train
notflip__0037,notflip,0,0037,30,test
notflip__0038,notflip,0,0038,30,train
notflip__0039,notflip,0,0039,30,train
notflip__0040,notflip,0,0040,30,validation
notflip__0041,notflip,0,0041,37,validation
notflip__0042,notflip,0,0042,30,test
notflip__0043,notflip,0,0043,30,validation
notflip__0044,notflip,0,0044,30,test
notflip__0045,notflip,0,0045,30,train
notflip__0046,notflip,0,0046,30,test
notflip__0047,notflip,0,0047,30,test
notflip__0048,notflip,0,0048,30,train
notflip__0049,notflip,0,0049,30,test
notflip__0050,notflip,0,0050,29,test
notflip__0051,notflip,0,0051,30,train
notflip__0052,notflip,0,0052,30,train
notflip__0053,notflip,0,0053,30,test
notflip__0054,notflip,0,0054,30,train
notflip__0055,notflip,0,0055,30,validation
notflip__0056,notflip,0,0056,30,train
notflip__0057,notflip,0,0057,30,test
notflip__0058,notflip,0,0058,30,validation
